id,text,topic-label,sentiment-label,confidence,include,notes
168,Koma zikuchitikadi izizi?,Economy,Neutral,Medium,Yes,
169,Aaaa inu ana athu ziwalo wa kukhosi,Economy,Negative,Low,No,
170,Nde sisani mitengo yakatundu kaaaa nanga 20 kwacha tigula chan?,Economy,Positive,High,Yes,
171,National anthem inatilakwisa😀😀,Economy,Negative,High,No,
172,Zaziiiiiii pa ndalama ilionse osangochoserapo zero bwanji,Economy,Negative,High,Yes,
173,Mwatipanikizatu shaaa,Economy,Neutral,High,No,
174,Sweet ndi k200 🤣✍️,Economy,Neutral,High,No,
175,Me am not accepting coins😂 ngt ikukanidwa K20 ya pepala nde ya coin yo angayilore ndan,Economy,Positive,High,Yes,
176,Koma gentlemen tikupanga chibwanaa...,Economy,Neutral,High,No,
177,Kuukwati kwawina ndizizaponya ma 50 okhaokha  ndizizangoponya mwamba izizakhoma anthu mutu😂,Economy,Negative,High,No,
178,Mwahuno mu Sana mbweee,Economy,Neutral,Medium,No,
179,Mkulukutamoyo naye pa chiwongolero chake 🥱,Economy,Neutral,Medium,No,
180,Olo mukanalekeza pa 5 handede coz ikungokwana ndazi imodzi naye,Economy,Negative,High,No,
181,Koma ma agent a Airtel money and Tnm mpamba akuziwa izi ? Azikanatu kusunga zima coin zanuzi oho kkk,Economy,Positive,Medium,Yes,
182,Tiponye maukwatimu izi 🤣🤣🤣,Economy,Negative,Low,No,
183,Namwe wa reserve bank wasowa waka vyakuchita kuma office uko,Economy,Negative,High,No,
184,The best way was to minimize printing those papers by half and encourage utilization of digital money platforms,Economy,Positive,High,Yes,
185,Odi ndisunge Zama pepala azaone mwana wanga,Economy,Positive,High,No,
186,Koma ngat k20 ya pepala imavuta kt ugulire mtima shopmu nde ya coin azilandira😂😂😂,Economy,Positive,Medium,Yes,
187,Vuto palibe olo kwa meleka ziliko even ku South Africa zikugwila ntchito,Economy,Negative,Medium,No,
188,Ena akunamizana ku kwacha yakwera mphamvu pamenepo 😆😆😆,Economy,Positive,High,Yes,
189,Zachani chimenezo ngati ku 5000 ndeno mukupanga k50 kwacha yachani panga 1000 ya coins not k20,Economy,Positive,High,Yes,
190,Ap tiyamba kuponyerana ndalama 🤣😂 kumuwuza mzako kuti tola ndalama iyo ndaponya apo🤣🤣🤣😂,Economy,Neutral,High,No,
191,"Zonse zingokhala za coin tu 
Hehehe",Economy,Neutral,Medium,Yes,
192,Kodi tikhoza kugulilafeteleza,Economy,Negative,Medium,No,
193,Boma laononga ndlama zambiri kuti apangitse malodzawa,Economy,Negative,High,No,
195,Pa salary yanga msaonepo zimenexi mwamva inu,Economy,Negative,Low,No,
196,Tangochotsani ma 5 ndi ma 2 pin kut the biggest note ikhale 1000 and find strategies to revalue it,Economy,Positive,High,Yes,
197,Ndale zakwanthu zachibwana,Economy,Negative,High,No,
198,Kuigwetsa kwacha mwa chinsisi,Economy,Positive,High,Yes,
199,Malo mochosa 5 pin nd 2 pin mktipasaso ma coin,Economy,Positive,High,Yes,
200,Apa ndiye tigendedwa ma ukwati ndithu,Economy,Negative,Medium,No,
201,Osangoithetsa at once bwanji 🥴🥴,Economy,Positive,High,Yes,
202,Ndiye mwati walemba Deborah Makonyola 😊,Economy,Negative,High,No,
203,Ama minibus 🚐  nonse takusungilani thumba LA MA coin ndikamapita ku 49 ndizikusungilan zanuzanu zima coins tavana kaya,Economy,Negative,Low,No,
204,Kodi tili Ku ntazania?,Economy,Negative,Low,No,
205,Mwati kuukwati tizikafupa bwanji 😂😂😂,Economy,Neutral,Medium,No,
206,Chitukuko cha ku Malawi ndi chimene cho,Economy,Neutral,Low,No,
207,The fall of nkhamanga kingdom,Economy,Neutral,High,No,
208,"Foseki kumene, osaphako mazilo ena ku 5000 bwanji",Economy,Negative,High,No,
209,Zavichi? Pala 500 and one thousand are powerless,Economy,Positive,High,Yes,
210,Izi odula ma market tickets andiziwanso anyamula nkutopa yekha,Economy,Neutral,Medium,No,
211,I am looking forward to use 5pin ya coin in 2050,Economy,Positive,Medium,Yes,
212,Koma nde kumayenda mosamalatu coz ndalama zama coin zimatha kugwesa buluku kkkk imagine kunyamula 50k yama coins honestly ur not safe at all,Economy,Neutral,High,No,
213,Mwachidule ndalama yakwacha yathapo apa aaaaaaa,Economy,Positive,High,No,
214,Do we know  what we want as a country?,Economy,Positive,High,Yes,
215,Ndiye tikagulila chani,Economy,Neutral,High,Yes,
216,50k ya coin?😂,Economy,Neutral,Medium,Yes,
