id,text,topic_label,sentiment_label,confidence,include,notes
249,Katswiri kwambiri! Ku Dowa ku ambiri ndife anthu odzichitira.,Economy,Positive,High,Yes,
250,This is great,Economy,Positive,High,Yes,
251,Dzoombe the great thinker all the time esshii God bless cos u save lives of malawians at the end ....🌄,Economy,Positive,High,Yes,
252,Napoleon pangolin,Economy,Positive,High,Yes,
253,Napoleon woyee basi🎉🎉,Economy,Positive,High,Yes,
254,"Bravo Napoleon.you are best like shepherd Bushiri,Simbi and etc.May the Lord Almighty give you prosperous and long lifespan",Economy,Positive,High,Yes,
255,king Solomon in Malawi 🇲🇼,Economy,Positive,High,Yes,
256,"Awa ndi anzeru ma innovators akuluakulu kupeza vuto solution pompopompo. Osati za theory ikutinamiza curriculum ya ku Malawiyi. Munthu woyamba kukoza Nyanja yake yake, anadzala chimachine chochotsa miyala ku mpunga cha over 20 billion ku Salima lero abwera ndi chimachine cha chopanga fertilizer. Big Dr Napoleon Dzombe",Economy,Positive,Medium,No,
257,"He is brilliant guy, and l like him so much",Economy,Positive,High,Yes,
258,Chiyambi chokutha njala ku Malawi andale womse kuduka kulupo,Economy,Positive,Medium,No,
259,Massive,Economy,Positive,High,Yes,
260,akatundu wawa,Economy,Positive,High,Yes,
261,OUR MALAWIAN TRAOLE,Economy,Positive,High,Yes,
262,Great,Economy,Positive,High,Yes,
263,Napoleon,Economy,Positive,High,Yes,
264,Chi goat amwene🔥🔥🔥,Economy,Positive,High,Yes,
265,Good development,Economy,Positive,High,Yes,
266,Very good news,Economy,Positive,High,Yes,
267,"Koma what I don’t understand is, the whole Malawi Government can’t do this koma munthu wamba ndithu? Zoona amwene izi? 
 Politicians are not the answer, they are just there to enrich themselves 
 Bravo Mr Dzombe apapa mwawachititsa manyazi 
 Muona akubwela kuti azatsekulire ndi iwowo 🤣🤣🤣 cholinga aziilowetse ndale",Economy,Positive,Medium,No,
268,Zapamwamba kwambiri tiyeni titukule #Malawi,Economy,Positive,High,Yes,
269,"We need such people in our country, people with vision",Economy,Positive,High,Yes,
270,The greatest of all time 🙌,Economy,Positive,High,Yes,
271,Bravo,Economy,Positive,High,Yes,
272,Mzeru,Economy,Positive,High,Yes,
273,Great minds..💯,Economy,Positive,High,Yes,
274,President 2030 under DPP ndyemweu bas,Economy,Positive,High,Yes,
275,Job creation 💯,Economy,Positive,High,Yes,
276,Now as country tayambapo kuyenda ngati dziko sopano...one big problem solved ...tione sopano massive infrastructure which can supports agricultural produce aswel machines to turn agricultural produce to products locally,Economy,Positive,High,Yes,
277,This is Good news,Economy,Positive,High,Yes,
