,text,topic_label,sentiment_label,confidence,include,notes
332,Great man ever,economy,positive,high,yes,
333,Bravo Mr bushiri,economy,positive,high,yes,
334,Good news,economy,positive,high,yes,
335,Kukhala si Uku!!!!,economy,negative,high,yes,
336,Dolo ka 10,economy,positive,high,yes,
337,Koma ichi ada mmmm salute 😎,economy,positive,high,yes,
338,Akabwela azizamunenaso amalawi eee🙌🙌🙌🙌🙌,economy,neutral,high,yes,
339,zitikwela zimeneso,economy,negative,high,yes,
340,"Bushiri 
Ndachalume PA yekha 
God continues bless him more.... more....more.",economy,positive,high,yes,
341,Go komko....mesa tikupelekeza bus kukatenga abale.....,economy,neutral,high,yes,sarcasm
342,Munthu mulala🔥🔥,economy,positive,high,yes,
343,What i was waiting for,economy,positive,high,yes,
344,Bwana uyu inu,economy,positive,high,yes,
345,Uyu nde ndi muthu osazikonda-di kunena chilungamo Ali ndi mtima wachikondi,economy,positive,high,yes,
346,Zikomo kwambili bwana mulungu akudariseni kwambili,economy,positive,high,yes,
347,Babande,economy,positive,high,yes,irrelevant
348,Praise God 👏 🙌,economy,positive,high,yes,
349,"Bushiri, indeed true son of soil, Thank you sir.",economy,positive,high,yes,
350,Ndiye popita kujoniko ma bus wo apita a empty?,economy,neutral,high,no,
351,Mutitengeko popita nanga apite empty ma bus Ife tilipo,economy,neutral,high,no,
352,Bochori liabunya akuwona ngati ndi AI,economy,neutral,high,no,
353,Uyu simunthu wamba,economy,positive,high,yes,
354,Liabunya achitepo kanthu,economy,neutral,high,no,
355,Wasala naye thom mpinganjira atumize ma helicopters ake,economy,neutral,high,no,
356,Dolo ka 100,economy,positive,high,yes,
357,Ngat ma bus 🚌 amenewa azachokera KU andidire azanditenge akandisiye ku Alberton,economy,neutral,high,no,
358,Nditengen ndikaodeko ma blanget tizikabweler limodz,economy,neutral,low,no,irrelevant
359,Boma linat litumiza 74 ee🤣🤣🤣,economy,neutral,low,no,
360,Uyu ndi Katswili. Zake amadya ndi anthu koma Chitukwanilenicho Sakhumudwa Kutinyanyala.... God bless🙏,economy,positive,high,yes,
361,Nkhani yabwino,economy,positive,high,yes,
362,Boma palokha,economy,positive,high,yes,
363,Bwana yinundiye mumakwana mulungu azikudalisani🙏,economy,positive,high,yes,
364,Bola achina Namalomba ndi Chisale asamunkhomelere,economy,neutral,low,no,
365,Pali zaulele guys ofuna kupita theba mutha kupanga join pomwe akukatenga azathu🤪🤪,economy,neutral,low,no,
366,2030 Bushiri azakhale President basi,economy,positive,high,yes,
367,mamuna ndi yemweyu🥰,economy,positive,high,yes,
