id,text,topic_label,sentiment_label,confidence,include,notes
0,400 million dollars eeeh 🙌. That's like the total annual tobacco proceeds.,economy,negative,high,yes,
1,Funny and sad in one sentence,economy,negative,medium,yes,
2,Is he speaking on behalf of NOCMA?,economy,negative,high,yes,
3,So how is Tam getting involved in this abale,economy,negative,high,yes,
4,Does Frank double as NOCMA and TAM spokesperson?,economy,negative,low,yes,
5,100÷3 Regions.. Mathematically..=??,economy,negative,high,yes,
6,Tankers are indeed at the port waiting for delivery as well as forex availability! Worry not my country men zingolowa kaye za fodya,economy,negative,high,yes,
7,"Mama yangu, game over🙄🙄 the mouse is now spokesperson for the whole jungle😎",economy,negative,high,yes,
8,I tried to comment first but many graduates from the University of Facebook who pursued their bachelor degree in commentology overtake me,economy,negative,low,yes,
10,"I need to understand something, is Frank Banda a government spokesperson? Chifukwa zina zomwe akuyankhula it's as if he has been appointed a government spokesperson osati zau transporter zomwezi AI.  Zofuna kuoneka dolo? Kapena buying favours?",economy,negative,high,yes,
11,everyone is a spokeperson during chaos,economy,negative,high,yes,
12,We joke too much in Malawi!,economy,negative,high,yes,
13,That quantity of fuel coul have been doubled using the same amount of dollars if you had continued with G2G arrangement. 🤷🤷🤷🤷🤷,economy,negative,high,yes,
14,"Government should priotise local transporters, period",economy,negative,medium,yes,
16,The different between Maheu X Government and APM Administration is fastness. APM Administration act fast,economy,negative,low,yes,
17,Says the Transporter.100 tracks that about 4Milliom litres consumption for 2 days in a stable environment.,economy,negative,high,yes,
18,TAM is speaking on behalf of who? And where did they get the information?,economy,negative,high,yes,
19,Phada --phada warm heart of Africa.Good morning Mr.Mandele.,economy,negative,high,yes,
20,Shop ikamatha makolo amayamba kusiyamo ana kuti azigulitsa,economy,neutral,low,yes,
21,Awaiting delivery mmmmhhh,economy,negative, high,yes,
22,"Energy minister aligone,pano angodya ndalama zama transporters aku Tanzania",economy,negative,low,yes,
23,Ma transporters ayamba kuyankhula mmalo mwa Boma kkkkkkkkkk kenaka timva Petrol Attendant naye akuyankhula mmalo mwa Boma,economy,negative,low,yes,
24,Wakabanza kulankhula mmalo mwa MERA,economy,negative,high,yes,
26,Iyeyo akutilankhula ngati ndani? Ampatsa zingat 😃,economy,negative,low,yes,
27,100 ndi amu Lilongwe mokha tsiku limodzi,economy,neutral,high,yes,
28,Mavuto awawa adzatha satana akadzawetsa mtima wake,economy,negative,high,yes,
29,100 +  28. districts. ? Kkkkkl,economy,neutral,high,yes,
31,Kkkkkk ai aaaa zakuvutan Bola nsima basi,economy,negative,low,yes,
32,Ndiwa Praise team akaterotu ameneyutu!,economy,negative,high,yes,
33,Khaniyo ndiyowona or ilibe umbon km vuto ilili likadatha zikadakhara bwino,economy,negative,medium,yes,
34,Vuto ku Bomako kwadzadza anthu ouma mitu 2 months ago anagula chimanga ku Zambia mma dollars without thinking kut ma dollar amenewo bwenzi atathandiza kumbali ya mafutayi.,economy,negative,high,yes,
35,Zosayenda,economy,negative,high,low,
36,Just say boma lakanika ili,economy,negative,medium,yes,
37,Mavuto alipobe chakwera bapumani anthu sayamika,economy,neutral,high,yes,
<<<<<<< HEAD
38,ngati eni ntchitoyi a MERA ndi NOCMA akanika kulakhula dalaivala atiuza chani🤣🤣,economy,negative,low,yes,
=======
38,ngati eni ntchitoyi a MERA ndi NOCMA akanika kulakhula dalaivala atiuza chani🤣🤣,economy,negative,low,yes,
>>>>>>> a336330 (Uploaded Perpetual dataset)
