,text,topic_label,sentiment_label,confidence,include,notes
832,Zikomo bwana,economy,positive,high,yes,
833,Munthu wankulu kwambili ma transport nde ndi awo komano kofikira 🤣🤣🤣,economy,positive,high,yes,
834,Dolo kwambiri,economy,positive,high,yes,
835,Umakwana big,economy,positive,high,yes,
836,Osangopanga hire ma bus omwe akumatenga kale anthu kupita ku South Africa bwanji pobwera akatenge anthu ku mabwera nawo,economy,neutral,high,yes,
837,Opposition kod bas iwowo sapeza owo,economy,negative,high,no,
838,Muwauze akabwera zama VN zija asye skut azizakhalaso busy kuno,economy,neutral,high,yes,
839,Okaoda kujoni tiyeni tikwere nawo izi,economy,neutral,high,yes,
840,Thank you bushiri,economy,positive,high,yes,
841,Anyamuka lit andtengeko,economy,positive,high,yes,
842,Mabwana awa 👍,economy,positive,high,yes,
843,Nyamata anali pheee kudikilira boma apa wavumbulukano sopano,economy,positive,high,yes,
844,Bwana no matuku tuku kmatu sienanu mmmmhuu,economy,positive,medium,yes,
845,Kenako Akabwera Azayambe kumutukwana,economy,positive,high,yes,
846,Mpulumutsi uyu,economy,positive,medium,yes,
847,Uyu nde munthuyo osati mpinganjila odzigundikila kugula magalimoto ndikumasangalala ndi banjala iiiiiii kod umankhala ufiti aaaaaa bushili ndiy waganidza bhot aaaaaa,economy,positive,medium,yes,
848,"Dolo kuposa Boma.., ine uyu olo yopuputa nsapato yake nditha kugwira",economy,positive,high,yes,
849,That's great full,economy,positive,high,yes,
850,Awa ndi ajiba,economy,positive,high,yes,
851,Kodi bus akumathela kubwela bwanji,economy,positive,high,yes,
852,Ine sindingakwele 🥺,economy,neutral,high,yes,
853,Amen 🙏,economy,positive,high,yes,
854,Odi ndizipakira ine 🤣🤣🤣🤣🤣,economy,positive,high,yes,
855,We say thank you 🙏🙏,economy,positive,high,yes,
856,Nde ipita opanda anthu?,economy,positive,high,yes,
857,God bless him,economy,positive,high,yes,
858,Mumati yimilira man of god,economy,positive,high,yes,
860,"Zimangomvuta km Bushili amayenela atakhala mtsingoleli wadziko mwina Zina ndikulongosokako, ulemu wanu bg 🙏",economy,positive,high,yes,
861,Tikudikila Ife Kuno tizibwera kwathu Kuno kwatopesa Chaka chino,economy,positive,high,yes,
862,"Bushiri ,bushiri, bushiri , how many times did I call u,,, ur true definition of optimistic person,may God continues blessing u,,,amenooooo",economy,positive,high,yes,
863,The lion of Judah majo1 uyu phuma alibe amapanga zake mwachifatsi nde ndizamuve winawake akuti majo1 nyokonyoko oho uzachita kuyenda chothawa dzikomuno,economy,positive,high,yes,
864,Zikomo Prophet Shepherd Bushiri,economy,positive,high,yes,
865,Kodi Bushiri yu ali pa banja???,economy,positive,high,yes,
866,Koma Malawi ndife osamva MOTi ena apa anyamuka akupita jonz🙌🙌🙌,economy,neutral,high,yes,
867,Tamandan Kachepa Longwe  nize  waka ndine ka ma bus yende wambula wanthu wanganya😆,economy,neutral,high,no,
868,Munthu uyu tisaname amathandiza,economy,positive,high,yes,
869,Uyu sangatiyimile kodi aaaaa,economy,positive,high,yes,
870,Koma ichichi ndi boma palokha.,economy,positive,high,yes,
871,Tizipita iyaah 😂😂,economy,positive,high,yes,
872,Good news God bless,economy,positive,high,yes,
873,Koma ichichiii chaza...🫠🫥,economy,positive,high,yes,
874,While Lyabunya Ali busy Kubunyula,economy,negative,high,no,
875,Good development,economy,positive,high,yes,
876,Major oneProphet Shepherd Bushiri much respect 🙏 voxy kwaine ndiyokwanira kundipezesa zosowa zanga,economy,positive,high,yes,
877,Uyu nkatundu,economy,positive,high,yes,
878,Muthu wakulu,economy,positive,high,yes,
879,Machine of Malawi palibenso ndalama zanu mukudya bwino bwana moyo umeneu musazasiye  strong man we love you💪💪 one love,economy,positive,high,yes,
880,Kodi deportee ija apapa singamatheke?,economy,positive,high,yes,
881,Muthu wamkulu kwambr awawa mlungu aziwadalitsa ndthu,economy,positive,high,yes,
882,Ambuye abwezeretse pomwe akuchotsa,economy,positive,high,yes,
884,Gyz kd pano kuchoka kuno kukafika ku south Africa ndi ndalam zingt ndmafuna mawa ndinyamuke 🤣,economy,neutral,high,yes,
885,Kenako  ena azipitanso komko pomwe amzawo akubwerako,economy,positive,high,yes,
886,"Amdala asyene,kumitunda,chikatundu🥰🥰",economy,positive,high,yes,
887,Bola onse afike popanda galimoto yosowa🤸,economy,negative,high,yes,
888,Dølø kangapø pāchīøñgølērø fīlū pālīpøñsē,economy,positive,high,yes,
889,A mpinganjira akuona Koma zimenezi,economy,neutral,high,yes,
890,Mukhalitse bwana,economy,positive,high,yes,
891,Machine awa,economy,positive,high,yes,
892,Super League nayo ikanallowelwlapo agalu amenewa amatithela ya data kwabasi,economy,negative,high,no,
893,The condemned... Rescuing other condemned... 🤣🤣🤣,economy,positive,high,yes,
894,Mbambande bwana talk less n do more❤️,economy,positive,medium,yes,
895,Let's make changes 😁,economy,positive,high,yes,
896,Umunthu overloaded 🤭,economy,positive,high,yes,
897,2030 President azakhala bushiri ndipo ma vote tasunga kare👍,economy,positive,medium,yes,
898,Its my prayer kuti akabwera asadzabwelelekoso...,economy,negative,high,yes,
900,Ndipo mudzawadziwa ndi ntchito zao aneneri.,economy,positive,high,yes,
901,Big man  tsopano,economy,positive,high,yes,
902,Kaswiri uyu,economy,positive,high,yes,
903,God bless you,economy,positive,medium,yes,
904,Mpulumutsi,economy,positive,high,yes,
905,Komatu oky,economy,positive,high,yes,
906,Major provovo,economy,positive,high,yes,
907,God bless this man and his family as well,economy,positive,high,yes,
908,Abwana,economy,positive,high,yes,
909,Kod iyeyu katangale sachita??,economy,positive,high,yes,
910,Ulemu wanu bwana,economy,positive,high,yes,
911,That's the way to go🔥🔥🔥🇲🇼💯,economy,positive,high,yes,
912,Good news... big up major🔥,economy,positive,high,yes,
913,"Good move koma boma liletse ma bus otuluuka pliz, sum yake itha kukha yothira madzi mu mchitini chobooka",economy,positive,high,yes,
914,"Ng'ombe mamina, mbatata kaya zimagwirizana chani 🤔🙌💔",economy,neutral,high,no,
915,Ndipo salakwitsa,economy,positive,high,yes,
916,Ambiri akhala mazulu😂😂😂,economy,positive,high,yes,
917,Achina simbi alikut?,economy,positive,high,yes,
918,Dolo Malawi yonse,economy,positive,high,yes,
919,Enao akwera nao ndege ya biggy nanga yonse ija kungoendamo okha aaaa akamabwera atengeko akhwaka enao naima njilamu nadya mapeyala ndi zina,economy,positive,high,yes,
920,"nde wina akut akufuna azipitakonso,kudwala chan",economy,positive,high,yes,
921,Umakwana bushidizzo,economy,positive,high,yes,
922,Ngat amukuru satumiza bus...osazanditchulanso hello a customer!!!!,economy,positive,high,yes,
923,Sapita empty amenewo tikwera popita,economy,neutral,high,yes,
924,Ndy iwe wapangapoo chani pomwe walekezaa Bushiri poo,economy,positive,high,yes,
925,"Major 1 , God bless you for work done and remember to help us here Malawi too with money",economy,positive,high,yes,
926,Mikulukuta moyo ing'ono ing'ono 🤞,economy,positive,high,yes,
927,"Then after mwezi uwaona akubweranso komkuno, chonsecho athawa chipwilikit",economy,positive,high,yes,
928,Wose awo wakutuma ovwiri awo ni Wana withu wa Sinodi...in short Sinodi nayo yavwirapo,economy,negative,high,no,
929,Nanga angalime,economy,positive,high,yes,
930,Wow that's great move,economy,positive,high,yes,
931,Ine ndiri phee kudikira support ya big Thompson Mpinganjira,economy,neutral,high,yes,
932,I think they will not be labeled😂,economy,positive,high,yes,
933,"Anthu akakhala pamavuto, Bushiri chonde tithandizeni. Akakhala pa mtendere amvekere Bushiri ndiwa Satanic. Nsanje, kaduka, ugogodi ndi uchitsiru sizingatitengere kulikonse.",economy,positive,high,yes,
934,That's a seating......kumeneko nde kukhala,economy,positive,high,yes,
935,Munthu uyu amanyozedwa koma samasamala. God bless you,economy,positive,high,yes,
936,Uyu ngati akut ndi wa satanic ndee ndi boza kungomuonengera mbiri chabe,economy,positive,high,yes,
937,Jesus Nation Government has prepared 10 Buses to get our People,economy,positive,high,yes,
939,Dolo kwambiri uyu 🔥🔥,economy,positive,high,yes,
940,Awa adzingodalitsikabe  Ali ndi ndalama zopindulila ambiri,economy,positive,high,yes,
941,Nanga ka chitete kakuti bwanji Mesa  nako ndika prophet,economy,positive,high,yes,
942,Nfuna lift yaku Zimbabwe ine,economy,positive,high,yes,
943,Amen papa,economy,positive,high,yes,
944,Sitizakunenaniso Papa,economy,positive,high,yes,
945,Popita atenga chan,economy,neutral,high,yes,
946,"Munthu wa Mulungu..

This is great news Sir.",economy,positive,high,yes,
