id,text,topic_label,sentiment_label,confidence,include,notes
166,Sopano ife azigayo mtithandiza bwanji kut nafe dizilo timpeze mwina tiikire mateyara kuzigayo?,economy,negative,high,yes,
167,"Apolisi ndiye achinyengowo kkkkk,,sending a thief to catch a thief",economy,negative,high,yes,
168,Mpaka zafika Apapa ayi ndinthu khoswe akakhalad pakhate sapheka😂🙌,economy,negative,low,yes,
169,Muzimulipila et,economy,neutral,high,yes,
170,Asowa mtengo wogwira. Matama siabwino,economy,negative,high,yes,
171,Aaaaa apolice akumalawi NDYE okonda katangalawo.,economy,negative,high,yes,
172,"Apolice ake ati? 😂😂
Nawoso kunyumba asiya mavuto ka
Nawoso akufuna ya nchere",economy,negative,high,yes,
173,🤣🤣🤣🤣🤣 last week ndamuona wa police yemweyo akugulalira fuel mu chigubu. Ine aaaaaa even the police officer can buy fuel mchigubu.... 🤣🤣🤣🤣🤣,economy,neutral,low,yes,
174,Poti nawo a police ena nawo ayamba yogulitsa mafuta pa black market,economy,negative,low,yes,
175,Zavuta kowooda,economy,negative,low,yes,
176,"Kwachema, mpaka police pa Filing Station ⛽.. Fuel Attendants guys yawakulira ganyu.. chilikwanzako 🥹😎",economy,negative,high,yes,
177,Awonjerezereso military,economy,neutral,high,yes,
178,Nanga galimoto yanga ikandithela mafuta kutali ndizitani ndizipanga motani paja pamakhala mauledo ena mafuta amazakuthelani panjila,economy,negative,high,yes,
179,a police nde amatoledwatu chilichonse kumangotumidwa,economy,neutral,high,yes,
180,Wapolisiyo safuna ya fanta🤔,economy,negative,high,yes,
181,Kod ulindi geneset upitanayonso I pa filiing,economy,negative,high,yes,
182,"Kumalawi timaona ndithu kt vuto ndiili ndipo solution ndiiyi
But we bypass the solution kkkkk",economy,neutral,high,yes,
183,"Nonsense at all
Mapolisawo nawo ndi anthu
Nothing will change
Ndipo zinthu zinkela kelabe kuvuta",economy,negative,high,yes,
184,Ma DSO tikufunika chitetezo kwambiri inu koma😂😂😂,economy,negative,high,yes,
185,Mmene akumasokonezela a police  amenewa iiiih,economy,negative,high,yes,
186,Imagine mtonyo mmanja.... Sibasi wapita😂😂😂😂,economy,negative,high,yes,
187,Koma muphanatu 😂,economy,negative,high,yes,
188,Amayambira wa police yo kumupatsa kanganyase😆,economy,neutral,high,yes,
189,"Zangokuvutani kugula 600 litres muzigubu ukhale mulandu wanji sopano, asozi, azigayo, generators akhala akugula mafuta chomwecho for years",economy,negative,high,yes,
190,Aah nchimodz modzi kungosiya choncho 😂😂😂,economy,negative,high,yes,
191,Police officers kuti apange facilitate kubera anthu,economy,negative,high,yes,
192,Paja munati fuel ayamba kupezeka mawa,economy,neutral,high,yes,
193,BOMA ilooooo!!!!!,economy,positive,high,yes,
194,Thought the situation was supposed to improve this week?,economy,negative,high,yes,
195,Nzopanda nzeru izi,economy,negative,high,yes,
196,apolice ndi abale anthu tikangowaonetsa ka 5pin uva tamuthilileni Kaye uyu,economy,negative,high,yes,
197,Nde apolisi a bweletsa mafuta?,economy,negative,high,yes,
198,Kuthira nchere pachilonda. We all know zomwe police yathu imapanga,economy,negative,high,yes,
