id,text,topic-label,sentiment-label,confidence,include,notes
418,My people football !!!,Economy,Neutral,Low,No,irrelevant
419,Bola apa.... Tiyambenso kutola ndalama 😂 😂,Economy,Positive,Medium,Yes,
420,Ndiye muchoseso 5000 ndi 2000,Economy,Neutral,Medium,Yes,
421,Muyichose 5000 yo ndalama izithera 200 kwacha mukatero zingwinjili zanuzi zigwira ntchito apo ayi tizingogulitsa kuma scrap uku,Economy,Negative,High,Yes,
422,"Ma bus conductors mudziwaso ohoo
Muzienda ndi sakatu",Economy,Neutral,Medium,Yes,
423,Pena NDI bwino kumamvako maganizo a. Malawi osamangopanga zganizo kumeneko anzanu adadya nazo ntoliro,Economy,Negative,High,Yes,
424,Ndiye tizitani nazo poti ndalamayi sikukwanila kugula kanthu,Economy,Negative,High,Yes,
425,Much better......,Economy,Positive,High,Yes,
426,😂😂 Tsoka kwa amene umakonda kuwa fupa anzako PA ukwati MA 50kwacha,Economy,Neutral,High,Yes,
427,Chimidzi icho,Economy,Negative,High,Yes,
428,"Better now,
Mumanyanya kufupa ma 50 kwacha  ma Nikkah 😁😁😁",Economy,Positive,High,Yes,
429,"Tangotulutsani K10,000",Economy,Negative,High,Yes,
430,"Komaso excuse yawo akut ndalama za Pepala sizikhala kutha ndie ndalama tugwiritsa ntchito zi nalo so bank limachita kugula...

Now let's break it down..mayiko Ena mu Africa muno amachita print okha.. Mayiko ngat RSA, Zimbabwe mwa Ena... Yet Malawi imapatsa contract mayiko Ena kuti apange print zathu...bwanji osangopeza matchini nkumapanga print momuno ndalama than worsting money kupatsa ma company just to print money for us?its just not making sense to me",Economy,Negative,High,Yes,
431,Mmmmmm Koma,Economy,Negative,High,Yes,
432,Serious anthu atigedanazo eish,Economy,Negative,High,Yes,
433,Akudandaula chani poti ndalama zikukozetsa zokha ndalamazo zakayetsala zipiteso kwakayesala 😂😂😂,Economy,Negative,Medium,Yes,
434,Just imagine pa agent kupita ndi 50 kwacha ya coin kukatumiza,Economy,Negative,High,Yes,
435,Well come coins,Economy,Positive,High,Yes,
436,Azathu akadqlini ndi 50 cent,Economy,Negative,High,Yes,
437,Komatu Palibe Chinthu Cha Fifite Kwachacho,Economy,Negative,High,Yes,
438,Mukufuna makabudula azigwa chifukwa cholemedwe ndi chenje,Economy,Negative,High,Yes,
439,Malawi eeee ai zikomo,Economy,Negative,High,Yes,
440,Chanzelu chomwe akuziwapo,Economy,Negative,High,Yes,
441,Ngati anthu akukana za paper what more zizudezi,Economy,Negative,High,Yes,
442,Ndalama zoonongeka zomwe zimatenga ndalama zambiri kuti zikonzedwe 😀😂,Economy,Negative,High,Yes,
443,Osangotiuza kuti tishotsa k5000 komanso k 2000 kuti zisamagwile ntchito ndicholinga kuti zinthu zitsike komanso DPP izawineso kodi amalawife tikuganiza motani Dziku lathu ndilovetsa chisoni eish😥😥😥😥😭😭😭😭😭,Economy,Negative,High,Yes,
444,Uh!,Economy,Negative,High,Yes,
445,Koma bola achotseko njonda ziwiri zili kumtundazo,Economy,Negative,High,Yes,
446,"Uku ndiye kufuna kutichosetsa mu mpingo, chopeleka ichi ndinasiya 30 yrs ago.",Economy,Negative,High,Yes,
447,"Malawians  wake up,this is good news ! Even first world countries use coins",Economy,Positive,High,Yes,
448,Ndie kuukwati tisupa chani,Economy,Negative,High,Yes,
449,Osangozichotsa bwa za chani 🤔,Economy,Negative,High,Yes,
451,K10 000 bank notes around the corner,Economy,Neutral,High,Yes,
