,Text,Topic_label,Sentiment_label,Confidence,Include,Notes
39,za ku mafuta zakukhudza bwanji a nocma amutuma iyeyu,economy,negative,high,yes,
40,Mwalankhulira akuchimuna ndi kuchikazi komwe malinga  ndi m'vula yi,economy,negative,medium,yes,
41,Iweyo ndi Boma?,economy,neutral,medium,yes,
42,Aaaaa sizingatheke kugula in mu Chinese  currency?,economy,neutral,medium,yes,
43,20 pin per litre,economy,neutral,medium,yes,
44,Mike Nkhoma are we receiving the right information from the right person?,economy,neutral,medium,yes,
46,"TAM is too corrupt, mwalandila howo mukatelo... Very useless... How is it going ease when u don't have the 400m?",economy,neutral,medium,yes,
47,This girl mmm 👉 Kumbuyoko kuli uyu 👉https://www.facebook.com/share/r/18TwM3NG5F/,economy,neutral,low,no,
48,Kodi awanso ayamba kuyankhulira boma? Boma lokhalokha likukambatu zosiyana,economy,negative,medium,yes,
49,"Uku Zativuta Basi, Boma lagwa ili 🤣🤣🤣",economy,negative,medium,yes,
50,"Poor reporting, kumamvera za transporter? Iyeyo wasanduka mneneli wa NOCMA kapena??",economy,negative,medium,yes,
51,Ku ntcheu zikuenda ku BT bottle la fanta lomwe silikwana ndi litre lomwe tikugula 14 pin,economy,negative,medium,yes,
52,Zamowatu zenizeni😂😂😂 titumeni tikangosenza pamutu,economy,neutral,medium,yes,
53,Zikuonetsa ngati awanso sadziwa udindo wawo nkhani A forex ikuwakhudza bwanji Mesa iwowa ndiongonyamula fuel,economy,negative,medium,yes,
54,Lagwa mwachangu🤣🤣🤣🤣,economy,neutral,medium,yes,
55,Bvuto ndi anyamata a MCP akubisa ma dollars kumapangila dala cholinga boma la mkulukuta moyo lizioneka ngati ndilolephela.🤗🤗🤗,economy,neutral,medium,yes,
56,"Finally chifukwa chenicheni chapezeka not za nkhondo mumanamizira zija.
Munaononga Forex kukagula chimanga kunja kuno chiliko cha mbirimbir ubulutu",economy,negative,medium,yes,
57,400 million USD 🥹,economy,neutral,medium,yes,
58,Is he a government spokesperson? Awatu awa akuwonjeza bwanji.,economy,negative,medium,yes,
59,Kodi dziko la Malawi  akuyendetsa ndi ndani???? Kkkkkkkk,economy,neutral,medium,yes,
61,Kodi nanuso zonenererazi mmachita eti? Eeeeeh 😂😂😂 kuendetsa boma z really tough n evil 😂,economy,negative,medium,yes,
62,Zili bho👍,economy,positive,high,yes,
63,Mwayamba ija yongofotokoza,economy,neutral,medium,yes,
64,"4 million litres plus, ndimafuta ochepa kwambili",economy,neutral,medium,yes,
65,Nyimbo zomwezo akatero athanso,economy,negative,medium,yes,
66,Kodi iye wasandukaso PRO wa NOCMA? Iye amayenera kungotiuza za transport basi,economy,negative,medium,yes,
67,"Wakutuma ndani iwe 
Kapena ndi neneri wa boma iweyo",economy,negative,medium,yes,
69,Awaso ngojijilika bwanji,economy,negative,medium,yes,
70,Kodi ndekuti black market inayala mphasa pa malawi pano eti? Coz i see many times news outlets quoting black market rates as if ndi msika ovomerezeka,economy,negative,medium,yes,
71,"MCP is in the DPP blood.. ,,🙄🤔",economy,neutral,medium,yes,
72,Matama aja mumakagula chimanga ku Zambia muno chilipo simumadziwa kut Dollar ndiyochepa wosatiuza zimenezo,economy,neutral,medium,yes,
73,Amudyesa banzi,economy,negative,medium,yes,
74,Kungomva ku Frank banda basi tu palowa ndale zananu apa,economy,negative,medium,yes,
75,Nanu mwayamba kunenelera ngati mpila,economy,negative,medium,yes,
76,Mkulukutamoyooo,economy,neutral,medium,yes,
