,text
289,Chomwe amadziwa ndikuyankhula mwano. Lero akha madzi tsopano.
290,Tinkasewelesa forex kukagula chimanga ku Zambia mmalo mogula momuno. Ndi izitu. That 77 million dollars ija bwenzi itatikankha pano
291,Ameneyo nde malawi palibe president Amene Angakonze dziko ili ' kupatula ufumu umene ukubwera kutsogoloku Amene olamulira wake ndi yesu christu basi 😋
292,What are the future plans for the problem.
293,Tizikwera pamatumba a chimanga basi
294,😂🤣🤣🤣 relo limenelo
295,Mudakana DK kusankha Mkulukuta moyo nde tatiyeni tisaachulutse madandu bola mudya ngaiwa
296,Nde munali mkulankhulitsa  ngati  kuti  muli  mzitsime  zanuzanu  mxieew
297,"Lero limenelo anamalomba. Chakwera ndi Kachaje anali madolo. Apa mwaonekera kupusa kwanu.

G2G ndiye njira yokhayo yothandiza Ife osowa folekisi"
298,Zayambika
299,G to G ndi deal but munainyoza.......  Ndale sizingathandize.
300,Ayititu ...paja ndinu akamuna muli ndi solution.
301,Bola awa amvomeleza mwachangu kma gulu la chkangawa lija ishiiiii mabodza
302,"Tinagundika ndi kukhazikitsa misonkho mmalo molimbikitsa ntchito zamalonda kuti zizibweretsa forex.

Put measures in place to support SMEs. Organize farmers in cooperatives, give them equipment, let them produce, reduce taxes to reasonable levels, add value to the products and export.

Forex scarcity will be a song of the past. If we don't open our eyes as a country, we shall cry forever.

Political will must be at the centre stage in supporting SMEs.

Osati kangolimbilana maudindo kuti muziba ndalama zaboma.

Use your brains to think and act."
303,Lero limenelo...??inuyo? Mesa mumati muli ndi formula yake?
304,"Andale dyera too much , amzanu a MCP ankadandaulanso mavuto ngat omwewa koma inu munkakana kuti nzonama. Lero muli pachiobgolero nde muzilubwa mavuto omweo? Tiuzeni excuse ina iyi siikumveka .... Anthu oyipa ansanje , dzidempete dzakaduka tiyeni thana nazoni kaa"
305,Mmmmh Mmmmh inu amenewo 🤣🤣🤣😅😂 alibe ndi manyazi momwe anawanyozera adzawo.pakamwa podya zanchele ndithu.
306,Munatukwana Chakwera pg ya G2G munkawoneka ngati ndinu madolotu.
307,Boma lagwa ili
308,A pri Prisca Malenga zabho?
309,"""Tidikire akalumbira, zonse zikhala bwino......"" Ambiri ankalankhula mawu awa kuyiwala kuti mavuto ena omwe amakhudza dziko lino gwero lake silikhala m'dziko muno ayi.... Izi nzomveka chifukwa Malawi imadalira mafuta ndi zinthu zina kuchoka kunja choncho ndibwino kulemekezana Atsogoleri, tisamayike ndale pachilichonse. Let's focus on developing our Malawi. We are one as a nation."
310,Nthawi mkachitsiru Mwashi Owen Silumbu Belteshazzer Vantel Remix Sporrow Nyamah Felix @followers
311,"My fellow Malawians citizenships, whatever things you are says, the Strait of Hormuz is closing the ears by Donald Trump. So wait for Trump"
312,Government to government ija munangopela kuithetsa inakatithandiza
313,At least the govt is being honest to its citizens 😅😅
314,Paja tinkanena kuti mafuta mukunyadilawa ndi a chakwera akatha mulira lero si izi Ana opusa
315,lero mutiuza kt tidekhe pomwe azanu padzana atanena chonchoso inu munkakana ....munkati pomwe pali forex mupadziwa ....mwaenda omwewu  mwanva....
316,Ineo tima dollars nditha kukubwelekan mutati mwanditenga bwino aboma 😂🤣🤣🤣🤣
317,Tangopangani zoti kupatula ntchito ya uphinzitsi ndi chipatala  enawo  azigwira online basi nanga mayendedwe akuvuta Ka.
318,Tili mu nyengo ya mcp
319,kkkkk osadandaula anamalomba bola athu akukhuta after kukhuta azikwela mitanda ya msima akakhala magetsi analeka kuyaka
320,Zimaphwekadi akamayendetsa wina zinthuzi basi
321,Chili kwa nzako usamati chigwireni nyanga
322,"Nthawi ya Chakwera mmanena kuti vuto sinkhondo yaku Ukraine ndepano vutoso sinkhondo,ndekusowa kwa mafuta vuto ndchani? Tikufuna mafuta osati zodekhazo"
323,"Pokhapokha Malawi azadziwe adani ake enieni otherwise zikungofunika kugwilana manja ndikuzindikila kuti palibe wandale amene adzathane ndi mavuto athu, wandale kwake ndikupindula pamwamba pa mavuto a Malawi. Tsoka ku m'badwo ulinkudzawo."
324,Boma lililonse limakumana ndi nyengo eish ena anachotsedwa chifukwa cha zomwezo
325,ku dowa kuno tikatenga tokha😞
326,Good speech
327,"Kumaliopa mawa 😃🤣 
Abambo inu kuyankhulitsa"
328,Koma andale nonse panyapanu ndithu🤣🤣🤣🤣
329,Ndalama mmalawi zilimo koma zomwe tilibe ndindalama zakunja  (forex)Denis Mahata ...ananena kale zimenezo
330,Chakwera uja anthu adangomudzoka matope. Munthu osalakwa
331,"At least nthawi ya Dr Lazarus Chakwera  mafuta amasowa koma anali otchipa , anthu akatopa pa line amapita kunyumba kukapeza Magetsi akapezeka a black market amakhala k5000  , pano thumba limodzi lachimanga likungogula 2L ya pa black market, Magetsi ndiye kulibe, Njala ndiye yayamba kale kusosola anthu ku mwera, Fertilizer unja tinkagula k135 000 pano ndi K200 0000 and Chimanga ndi k45000, President akungosithira ma diapers 🧷  ku  state house"
333,Business  imafunika ma tactics
334,Kukweza mitengo kenako ndikumasowanso ndie mukuganiza Kuti inflation itsika Ngati Mene mukuganiziramo
335,Mpaka ANamalamba zafika povuta kwambiri bwana bora mwadziwa kuti mawu osamatha.
336,mesa amati iwowo ngongole sapanga nawo
337,Kumaliopa mawa
338,I saw it coming 😁😁😁
339,Chakwela is that you?😆
340,Chakwera 2030 boma
341,Apapa basi boma lija likupita kwina 2030
342,Komatu munkatiuza kuti mutangolowa Forex izidzapezeka ndipo vuto la mafuta lidzatha mutachita kuvala ziguduli zanu. Pano mukuti chiyani?
343,Chinthuchi chawakanika awa.....
344,Ayitu sizikumveka
345,Chikati gogogo chili pa iwe 🤣
346,Kod MCP ija pano ndianaso osankhwima pa mxhombo etiiii
347,Sewero latikufelanji
348,Koma ziliko mhuuuuu
349,"zoti tiribe forest yogulira mafuta mwazidziwa lero.munalonjeza pa kampeni paja kuti mukalowa m'boma vuto lamafuta ikhala mbiri yakale.we don't want your excuses,we need fuel for ambulances to ferry my grand mother from Emchakachakeni to Mzimba  district hospital.nothing less,full stop"
350,Tikudikilabe angolumbilitsidwa nkukutayo 🙌🙌🙌🙌
351,Kkkkkk wapusa Namalomba sopano thawi ija amazitenga wudolo
352,Njira yake kubweleka basi🤣🤣🤣🤣 eeeiii malawi
353,"They just change regalia colours, same mindset, same ideologies, nothing will change, no ideas on how we can bring forex back, yet forex is still in the same country and being sold by same politicians on black market.. 

Kenya dealt with this and they are thriving... Anyway ndilibe lawyer ine😢😢😢"
354,Mutu 4 Zovuta zipitilira nyama za nkhalango 😔
355,A Namalomba mukuwanamizira izi sangalankhule pang'ono pomwe
356,"Anzanunso amatero ndinu nomwe a Namalomba munkati nzanodza lero zomwezo zasanduka zoona? 
Mxieeee kaduka sikabwino seriously  aaaaaaaa"
357,Kodi sanalumbire abwana.?
