id,text,topic_label,sentiment_label,confidence,include,notes
168,true son of soil,Economy,Neutral,High,Yes,
169,Thus a way to go as country 💥,Economy,Positive,High,Yes,approval
170,There is a legend behind who is reading the comments without commenting 🥱🥱😆,Economy,Negative,High,No,unrelated
171,In my opinion he's second richest person in Malawi pa 1 pali Bushiri,Economy,Negative,High,No,out of line
172,This is what we needed.. Well done Mr...... Next tione simbi nd mpinganjila kut nawoso atana after bushir and nazombe,Economy,Neutral,High,Yes,
173,"Moreee grace 
 More blessings 
 More wisdom 
 More money 
 
 Mr Dzombe",Economy,Neutral,High,Yes,
174,Namadingo and Napoleon,,Negative,Low,No,irrelevant
175,Siza ma degree a history wo😂,Economy,Negative,Low,No,
176,Mbambande 🔥🔥🙌,Economy,Positive,High,Yes,
177,"Live from Gaborone 
 Lazaro, We got this and Nick are silent partners",Economy,Negative,Medium,No,irrelevant
178,The people from dowa we safe,Economy,Neutral,High,Yes,
179,One man can change the world.,Politics,Positive,High,Yes,
180,Best to do is more practical then theory,Economy,Positive,High,Yes,
181,Super hero💪,Economy,Positive,High,Yes,
182,My role model....form 1 bas kuzsyàa,Economy,Neutral,High,Yes,
183,Mchewa wamzeru 🔥🔥🔥,Economy,Positive,High,Yes,
184,Mbambande 🔥,Economy,Positive,High,Yes,
185,Oh yes. ...truck driver naye ndi Muthu osamangokhalila ku bela sosobina azitisatila pa dowa pompa,Economy,Negative,Low,No,socially inappropriate
186,Business tycoon with Brilliant ideas,Economy,Positive,High,Yes,
187,Osazamupwekesa pat,Economy,Positive,High,Yes,
188,"People like you Prophet Shepherd Bushiri and Napoleon Dzombe need to be supported by the government in one one way or another.
 
 Imagine, creating jobs for Malawians, saving forex for Malawi, paying tax to government, stabilising the fertiliser market, as benefits and plus many more. Don't these people deserve grants from government to further invest in malawi.
 
 Even the president of Malawi should offer free access calls to these men to be discussing investment ideas with them. 
 
 Non should block these men on their way to pursuing excellence for the benefit of malawi",Economy,Positive,High,Yes,
189,Wadza Napoleon 👏👏👏,Economy,Neutral,High,Yes,
190,ku Dowa🔥🤣,Economy,Neutral,Medium,Yes,
191,At last we have someone igneous from Dowa,Economy,Positive,High,Yes,
192,Dowa osadzaynyoza kuli zkazodalilika,Politics,Neutral,High,Yes,
193,Basi kudowa mdikumalawi,Politics,Neutral,High,Yes,
195,Mbambande 🔥,Economy,Positive,High,Yes,
196,And he made it kwao konko,Economy,Neutral,High,Yes,
197,Napolion ndiboma palokha✌️,Economy,Neutral,High,Yes,
198,The true visionary leader. He brings solutions to problems. We are proud of you Dr. Dzombe. Malawi will never be the same with abundance of fertilizer. Hunger will no longer oppress Malawians in near future.,Economy,Positive,High,Yes,
199,Ochewa ozelu 🥰,Economy,Positive,High,Yes,
200,Concept - Demand +Supply ✔️,Economy,Positive,High,Yes,
201,Dowa to the world,Economy,Neutral,High,Yes,
202,Mchonya💪✊🔥,Economy,Positive,High,Yes,
203,Long live Napoleon Dzombe 🥳🥳🥳🥳🥳,Economy,Positive,High,Yes,
204,Dowa on map iwe 🔥🔥🔥🔥,Economy,Positive,High,Yes,
205,Dolo heavy,Economy,Positive,High,Yes,
206,"Big brain never disappoint,,,,,,,, not izi am graduate from proper uni Aaaa magaye",Economy,Positive,High,Yes,
207,"I'm interested,,,but what type of Grasshopper is? 😅😅😅",Economy,Negative,Low,No,off topic
208,Awa Ali zindalama,Economy,Neutral,Medium,Yes,
209,That's the spirit,Economy,Positive,High,Yes,
210,Dowa ija kuno zamphavu,Economy,Positive,High,Yes,
211,Mikhula ng'ona ija 😂😂,Economy,Positive,High,No,
212,Public figure💪💪💥💥💥zelu za madala!!,Economy,Positive,High,Yes,
213,Wodemaya ur father is doing history once again,Economy,Positive,High,Yes,
214,"People with visions, development is in our DNA.",Economy,Positive,High,Yes,
215,"Is he married,ask for my sister",Economy,Negative,Low,No,unnecessary comment
216,Yaza ase aaa inu,Economy,Positive,High,Yes,
217,Dowa to the world,Economy,Positive,High,Yes,
218,Bravo napoleon,Economy,Positive,High,Yes,
219,Thats away to go 🔥🔥,Economy,Positive,High,Yes,
220,The bank of Mzeru,Economy,Positive,High,Yes,
221,Thus why dowa is independent country in Malawi under president Dr. Laz Chakwera,Economy,Neutral,Medium,Yes,
222,Dolo heavy,Economy,Positive,High,Yes,
223,Malawian Dagote 😀,Economy,Positive,High,Yes,
224,Enafe tidzikotamba basi 😂,Economy,Negative,Low,No,not really what we are focusing .. off track
225,The Only person in Dowa,Economy,Neutral,Medium,Yes,
226,ADMARC nayoso must transition from a fertilizer distributor to a fertilizer manufacturer to protect against global price shocks and politically driven subsidy cycles. Boma n'chi machine chimakhala ndi capital yambiri,Economy,Positive,High,Yes,
227,Kaya thesis yanga inandithandiza kaya....what was I defending 😃😃😃,Economy,Neutral,Medium,No,it's an opinion based on edu
228,Yaza weni weni,Economy,Positive,High,Yes,
229,𝘼𝙋𝙈 𝘼𝙆𝙃𝘼𝙇𝙄𝙏𝙎𝙀 🇲🇼✍️,Economy,Neutral,Medium,Yes,
230,Our tomorrow's Dangote 🔥,Economy,Positive,High,Yes,
231,Bola dpp isayikepo chiphazi,Economy,Neutral,Medium,No,not connected
232,"Imagine a government made of Bushiri, Napoleon and mpinganjira",Economy,Neutral,Medium,Yes,
233,Dowa ndiya madolo 🔥 musamaphweketse ma guy😂,Economy,Positive,High,Yes,
234,Big brain with vinzeru,Economy,Positive,High,Yes,
235,People who deserve much respect,Economy,Positive,High,Yes,
236,Great thinker,Economy,Positive,High,Yes,
237,Great initiative,Economy,Positive,High,Yes,
238,🔥🔥great minds,Economy,Positive,High,Yes,
239,God bless the man,Economy,Positive,High,Yes,
240,Now I understand where people in dowa get their confidence,Economy,Neutral,Medium,Yes,
241,Great thinkers.Salute,Economy,Positive,High,Yes,
242,Congratulations to Nazombe for such a great project that can help Malawian to reduce food insecurity in our Country,Economy,Positive,High,Yes,
243,The greatest human act is to inspire! Big up Dr Napoleon Dzombe,Economy,Positive,High,Yes,
244,Great minds,Economy,Positive,High,Yes,
245,"Machine, great job",Economy,Positive,High,Yes,
246,King of malawi,Economy,Positive,High,Yes,
247,"Better 
 Congratulations",Economy,Positive,High,Yes,
248,End God bless you,Economy,Positive,High,Yes,
