Id,Text,Topic_label,sentiment_label,confidence,notes,includes
157,The problem is not the courts the leadership,,Positive,,,
158,"Ndpo Ku judiciary kuu kwadzadza akanganyaa kwambri mbudzi zenizeni, these people will finish us all",,Negative,,,
159,Gift Maclean Mlenga 100%,economy,Neatural,,,
160,Incredible 😭😩,economy,Positive,,,
161,Puruveni lidashipi 🤣🙌,economy,Neatural,,,
162,Kkkkkk Malawi,economy,Neatural,,,
163,Ndikuonangati Dictatorship ibwelelenso,economy,Neatural,,,
164,Kodi boma kukana kuipeleka chingachitike chani 😂,economy,Neatural,,,
165,Goes no where indeed,economy,Negative,,,
166,That's why in China corruption cases has death sentence 🙌otherwise ku Malawi kuno azingopitilila coz non of the perpetrators are brought to justice,economy,Neatural,,,
167,Ok,economy,Neatural,high,,
168,"You will note that the people who have impoverished this country are from the same clan. We just change faces of the criminals. They finance a wedding through Finance Bank in 2005; the bank gets disbanded, then we use the very same entity to get huge sums of money from government in the name lost business.",economy,neutral,,,
169,"Malawi is sitting on a Bob, we need rescue immediately",economy,negative,,,
170,"You can not fight corruption with a corrupt police. 
Clean police first.",economy,negative,,,
171,At this juncture sitikufunika democracy,economy,negative,,,
172,Umphawi ochita kulenga tokha 🙌🏼,economy,neutral,,,
173,"A decade is 10 yrs, two decades it's 20 yrs to count down 20 yrs it ends 2005 which means DPP, of mutharikas PP of mai J B and MCP of Chakwera jointly messed our economy on one can point a finger to another they're all rabish too much kudzikundikila",economy,negative,,,
174,"Dziko lanthu chomcho lingatukuke bwanji, eish tangeila ma Battery mmanja muli sabola",economy,negative,,,
175,Wow tell us something we don't know,economy,negative,,,
176,Kikikikikiki,economy,neutral,,,
177,"Corruption fighting corruption. The only way to deal with corruption is to fix the systems., government institutions must be buying goods and services from the producers basi chifukwa ""Tender"" process ndi corruption payekhanso and those who evaluate the tenders are corrupt as well (Money talks) , wapolisi wa mitonyo ati kumapita kukamanga wakuba 😂😂😂😂",economy,negative,,,
178,Eeeeeeeeeeee,economy,negative,,,
179,"Komasotu pena pake eeiishh,mudzi ndi mudzi kumanga ichocho mkumati classroom?🤔🤔",economy,negative,,,
180,"What do we expect from the way will handled Sattar case? This was a litmus test for Malawi's fight against corruption. Someone said these words:

Quote ""When plunder becomes a way of life in a society, in a course of time, they create for themselves a legal system that authirizes it and a penal code that glorifies it"" Unquote",economy,negative,,,
181,The whole political system was made to enrich the minority at the expense of national development.,economy,negative,,,
182,we need to rewrite this disk. Political system has failed us,economy,negative,,,
183,Ambiri two decades sakumuona akungoti MCP never again 😂🤣😂,economy,negative,,,
184,Blame none but the judiciary.,economy,negative,,,
185,Kwiba makopala maka maka awa wa ndyale!,economy,negative,,,
186,"The past two decades, UTM, DPP, PP, UDF and MCP ali muti mkati momo",economy,negative,,,
187,Do u think people are ........,economy,neutral,,,
188,The past two decades. Who's leadership was This? DPP or MCP?,economy,neutral,,,
189,Andare akaba ndarama kundende 2days waturuka akut bs alibe murandu mpake amaba chuma chadziko coz amadziwa kut sangapite kundende 🤔,economy,negative,,,
190,Chipako Phiri both DPPand MCP,economy,neutral,,,
191,"Bless Kadzamila MCP/tonse alliance 5 years DPP12 years, peoples party 3 years. DPP is full of mafia people.",economy,negative,,,
192,"Ndife anthu azibwana, kmonso onvetsa chisoni. Ndalama zonse timatchulazi 60% anthu anamwela mowa 15% anagawana, 25% ndiyomwe tikuyionayi. Trump uja watopa nafe sure",economy,negative,,,
193,"Malawi is heading to Singapore and Canaan, shortly will speed up to heaven ✈️✈️✈️",economy,neutral,,,
194,10 Trillion yachepatu by far! The rich but very sick nation we have!,economy,negative,,,
195,"Milandu ya corruption yonse ikapita ku court amapeleka bail basi zimathera momo , ours courts don't not see corruption as serious cases....",economy,negative,,,
196,Even those trusted to fight corruption are corrupt too so nothing positive can come out,economy,negative,,,
197,Do we need politicians? 🤔,economy,neutral,,,
198,"police,courts and jails in our Mother land are for the poor, for Elite are there for video shooting and gaining famous.",economy,negative,,,
199,"Mabwana , andale, Oona zamalamulo, nose corrupt nde itha bwanji ...",economy,negative,,,
200,"We are ruled by selfish individuals, with all these funds we cud hv had beautiful xuls, hospitals, roads,.. koma they r busy pocketing money for themselves. ACB nayo ikufunika ma reform.",economy,negative,,,
201,"My malawi my nation, people are getting rich.",economy,neutral,,,
202,Mmmm mmmmmmm malawi,economy,neutral,,,
203,No politician love this country and even eni akefe nzikafe all we think is kuba basi instead of developing this country,economy,negative,,,
204,"And it's a shame in those 20 years, they've never built new full Secondary Schools or new full Hospitals anywhere in Malawi!!!!",economy,negative,,,
205,Democracy is a threat to malawian s,economy,negative,,,
206,If the judges involved in corruption what do you expect from such a Nation?,economy,negative,,,
207,Nalo dziko lopanda ndege ili 🤣,economy,neutral,,,
208,Corruption ya ku malawi simapita kutali anthu wa ndi a modzi andale wa,economy,negative,,,
