id,text,topic_label,sentiment_label,confidence,include,notes
418,"Opanda classmate tu uyu,odi mkamulimire kumunda mwina adzandilembe yogulitsa feterezayo",Economy,Positive,High,Yes,
419,"This guy,atiphule pa moto",Economy,Positive,High,Yes,
420,Good development,Economy,Positive,High,Yes,
421,Nzeru zothandiza Malawi koma tidzawonaso 50kg bag of fertilizer iliso pa 200 pin 🤣🤣,Economy,Negative,Medium,Yes,
422,Dowa nd dziko palokha,Economy,Neutral,Medium,No,
423,Malawian Dangote,Economy,Positive,High,Yes,
424,Nzeru,Economy,Positive,High,Yes,
425,"Ndiye wina kugula ma galimoto 84 onse for luxury,car hire or chani kklkkk
 Dzombe kuchikweza",Economy,Negative,High,No,
426,Ndakatundu omanga ndimawaya,Economy,Positive,High,Yes,
427,"Aliyense akutulutsa zake 
 
 Anthu achuma mmmmhu",Economy,Neutral,Medium,Yes,
428,Congratulations 🎊,Economy,Positive,High,Yes,
429,"In Malawi, there are a number of pipo who are doing zolozeka with good intensions, anthu osakonda ndalama koma okonda dziko lawo.....Simbi, Napolion, Bushiri, Namadingo, Mpinganjira, Temwa Chilenga, Mai Mbambande and Tusaiwe i respect you, ndinu madolo heavy. The rest dyera!!!!",Economy,Positive,High,Yes,
430,Sukulu kuchedwetsa abale 🙌🙌🙌,Economy,Neutral,Medium,No,
431,good news,Economy,Positive,High,Yes,
432,Kukhala koma kumenekuu,Economy,Positive,High,Yes,
433,Umva tizikagulabe kuja,Economy,Negative,High,Yes,
434,Good development,Economy,Positive,High,Yes,
435,Uyu nde alemba hito ma galajuweti 🙌🫡🫡 but himself 😂😂 yomweyo galu iwe,Economy,Positive,High,Yes,
436,Nzeru za bambo,Economy,Positive,High,Yes,
437,Zelu zabambo🔥,Economy,Positive,High,Yes,
438,ANDALE AKWIYA APAPA! kufuna kuba bas,Economy,Negative,High,Yes,
439,Mphwache wa Dangote uyu...🤣🤣🤣🤣,Economy,Positive,High,No,
440,Dowa ija si Malawi osazaitola anthu ake ndioganiza bho,Economy,Neutral,High,No,
441,Nzeru koma izi,Economy,Positive,High,Yes,
442,Chonena ndilibe ndingoti God bless Malawi,Economy,Positive,Medium,Yes,
443,Congratulations Bwana Napoleon Dzombe,Economy,Positive,High,Yes,
