,text,topic_label,sentiment_label,confidence,include,notes
664,Dolo 🔥,economy,positive,high,yes,
665,Mtima othandiza dziko lake mkuluyu ndie ali nawo thank u Bushiri,economy,positive,high,yes,
666,Ubwino wa munthu upose apa ?? Osati ena kumangozikundikila chuma osathandiza anzao zikawavuta,economy,positive,high,yes,
667,God bless him,economy,positive,high,yes,
668,Man of God 🙏🙏,economy,positive,high,yes,
669,Koma onse adzafika ???????,economy,neutral,medium,yes,
670,Achokeko kumene,economy,neutral,medium,yes,
671,Pa bill ya apulo 🔥,economy,positive,high,yes,
672,Lozi Phili ma bus aja apezeka tieni,economy,positive,high,yes,
673,Boma ilooo,economy,positive,high,yes,
674,Ndege zaufiti tili nazo mmalawizi osazipanga hire bwanji?bwezi pano atamaliza kunyamula abale athu onsetu,economy,negative,high,yes,
675,Great job Mr,economy,positive,high,yes,
676,Wakulu,economy,positive,high,yes,
677,Uyu ndiye ofunika u President uyu ndipo or malipila ake athakumakana kulandila alikale ndalama uyu odziwa mabvuto amalawi thanks mr major 1,economy,positive,high,yes,
679,Yamikilani zikatheka not mawu okha,economy,neutral,high,yes,
680,Vote for bushiri,economy,positive,high,yes,
681,I Prophesy kuti tikafikaso akatipasa ma 1mta oyambila,economy,neutral,medium,yes,
682,"1bus cost 100 000 000 Mk to hire x10 =MK1 000 000 000, basi chinthuchi watenga Major 1🙊🙊🙊🔥🔥🔥🔥🔥🔥💥",economy,positive,high,yes,
683,"Ndipo ndi  helper in times of need , akhalitse bushiri",economy,positive,high,yes,
684,Ifetu tathokoza 🙏,economy,positive,high,yes,
685,When he will bring,economy,positive,high,yes,
686,Tisamve tu kuti Ina yachinga ngonzi,economy,neutral,medium,yes,
687,Ichi campaign chimaitha,economy,positive,high,yes,
688,He knows exactly kti anthu akuno ndankhaza,economy,positive,high,yes,
689,God bless you 🙏,economy,positive,high,yes,
690,May the Lord bless him 🙏,economy,positive,high,yes,
691,Bushimanyizoo🙏🙏💪,economy,negative,low,no,
692,Za hard,economy,positive,high,yes,
693,Mfadisi tsopano 🔥🙏,economy,positive,high,yes,
694,Zabwino zipose apa,economy,positive,high,yes,
695,Popita tikwere nawo,economy,positive,high,yes,
