Id ,Text,Topic_label,sentiment_label,confidence,notes,include
51,Nelly Shaba nanga chisale?,economy,Negative,Low,not align with the post,no
52,Nelly Shaba ndakutukwanapo? Ulibe khalidwe.,economy,Negative,Low,,no
53,Gelie Mac Greva munthuyi mburi MUSIYE iye apanga target munthu kkkkkk,economy,Negative,Low,,no
54,makhoti mwalowa ndale kowophya ndiye inu aboma simungapenze majaji olongosoka,economy,Neatural,Medium,,yes
55,"Vuto ndima courts anthu....Alex kamangira uja amkanena zowona...amachita kutchula dzina lama lawyer a corruption ndima judge omwe 
This is excatly what is happening

Mwina tiyese kusintha the way we govern...let's try provisional system kungotengela mmene ma regions a police amayendela like south West province, central east province, northern province central west province, South East province mwina it will be easy to track these mbavazi",economy,Neatural,Medium,,yes
56,"Chosencho okubawo angoyenda mitima ili m'malo, nao ma judge ake akatangale okhaokha, angopereka ma bail akatero mulandu watha, kwinaku attorney general akugona kulephera kumanganso achina chinkono ndi gulu lake la zigawenga lija, pena nkumati nde kuti ma judge onse ndi a mcp eti?🙆🙆🙆🙎😔😔",economy,Neatural,High,,yes
57,"Pankhani ya corruption palibe ,lamulo lonkwina , that's why",economy,Positive,High,,yes
58,.. just say since the era of multiparty...nde pano ulamuliro uli mmanja eni umbava wo..these stories will continue to make headlines mpaka kale kale...kaya ife tili kolima soya...,economy,Neatural,Medium,,no
59,Broblem is our judiciary,economy,Positive,High,,yes
60,ACB and ombudsman thesan zimenezo palibe chomwe timapindula plus ku judiciary thesan kuwapasa ma billions,economy,Positive,High,,yes
61,Ngakhalenso ku ACB komweko kulinso a katangale nchifukwa chake zinthu zikuvutabe,economy,Positive,High,,yes
62,Corruption throughout zaziii,economy,Neatural,Medium,,yes
63,Ulamuliro waku China onyonga uja ukanatithandizako kwa anthu ngati awa,economy,Neatural,High,,yes
64,Ma judge aku malawi sakonda dziko lawo dyera apo nawo aliwamo anapanga kale ma share tikudziwa munthu okonda dziko lake sangapange kt mwenye obwera dziko limulipire ndalama zosezo ayi ndikupusa kumeneko ndi amene akuwononga dziko lino,economy,Neatural,High,,yes
65,Yugo Banda umburi mtaye wakhuta chitedze ameneyu,economy,Negative,Low,un neccessary,no
66,"Nelly Shaba Read the headline again and you come again.
,",economy,Negative,Low,,
67,Fyakitima,economy,Negative,Low,,no
68,"Koma ku Malawi kunoko ndikokwiyitsa eeeh, but all real thieves, none is serving a jail term.",economy,Neatural,Medium,,yes
