id,text,topic-label,sentiment-label,confidence,include,notes
85,Ngat imakanidwq k20 ya paper nde zachitsulozo zitha bwanj kaya 😎🙌🙌,Economy,Negative,High,Yes,
86,"😂😂 Ngati ya pepala umachita manyazi kutulusa pagulu ....
Nde coin Ili ngwenjelere",Economy,Negative,High,Yes,
87,Osangozithesa bwanji,Economy,Negative,High,Yes,
88,Kuwatelo achipiku wo🙌,Economy,Negative,Medium,Yes,
89,Basitu zathapo ku ukwati kuja tikayamba kugendana nazo tikathera mpaka kwa akwati 😂😂😂😂😂😂😂😂😂,Economy,Negative,High,Yes,
90,"In the meantime, 20kwacha ya pepala sikugwira kale ntchito,  nde zimenezo tidzipanga nazo chan....ingonenani chomwe mufuna",Economy,Negative,Medium,Yes,
91,Ndalama kutengaso ndalama zambr ayi zkm,Economy,Negative,High,Yes,
92,Ayayàyaya,Economy,Negative,High,Yes,
93,Apa kufupa kwake tizichita chovunga,Economy,Negative,High,Yes,
94,Moti mulibe zochita zina ku Reserve bank ko?  K20 or mtedza umodzi ophika simakwanatu akuziziwa zimenezi koma?,Economy,Negative,High,Yes,
95,"K20, K50, K100, K200 & K500.  Ndizomwe zimayenera kukhara za coin. Ndimene zilili mphavu zake",Economy,Neutral,Medium,Yes,
96,Kukakamiza zinthu.,Economy,Negative,High,Yes,
97,Zogendera ex akakwatira zapezeka😂😂😂😂,Economy,Neutral,High,Yes,
98,Dziko lotembereredwa. Kubweresa coin zisintha chani pa economy ya malawi iya,Economy,Negative,High,Yes,
99,😂😂🤣🤣 zatuluka kuti tizigulira chani tinapumat ana kumeza izi akaidi inu,Economy,Negative,High,Yes,
100,Mako Sana mwangoononga chabe nthawi ndalama zanu akuzikana muma shop,Economy,Negative,High,Yes,
101,Olo atati asazipangeso olo atati atilande ndalama zonse or atati atiphe    tinasiya kunva ululu ife,Economy,Negative,High,Yes,
102,Mwatibera kokwana kumakhalira kusintha ndalama malo mokonza dziko ndimavuto alipowa,Economy,Negative,High,Yes,
