id,text,topic_label,sentiment_label,confidence,include,notes
496,Kwendeska boma nkhupusu yayi 😂😂😂,economy,neutral,high,yes,
497,Kumaliwopa mawa,economy,neutral,high,yes,
498,"🤣🤣 koma nthawi mkachitsiru sure, lero limenelo?,tangobweletsani mafuta apa ma detective achiyani",economy,negative,high,no,
499,Koma ilo !!!!!! Siza chakwera zija ayi 🤗🤗🤗🤗,economy,negative,medium,yes,
500,"Mukusowatu ma measures
Mafuta akamapezeka, ma vender samagulaso ma bulk fuel 
So ingopangani zoti mafuta azipezeka pa filling station",economy,negative,high,yes,
501,Komaso akulandila ndalama a police amenewo,economy,negative,medium,yes,
502,Police yake iti yosakalandila chiphuphuyo kkkkkkkk,economy,negative,low,no,
503,"Awaso nde nzisiluso bwanji,nanga mafuta atamapedzeka mosavuta munthu angamagulileso muzigubu??
Nde kuti zachidziwikile solution sadayipedzebe yopezela fuel kumalawi kuno 😂",economy,negative,high,no,
504,Izi ndie muphesa nazo ma innocents anthu,economy,negative,medium,yes,
505,Allowances shift to women and men uniform congratulations in advance,economy,negative,high,no,
506,Game ndi kubweretsa Mafuta ambiri basi. Let People differentiate between dull Maheu Government and APM Administration full of genius People,economy,negative,low,yes,
507,Ma officer omweo ndiamene amayambisa zipwirikiti,economy,negative,high,no,
508,Apolice ndi achani kweni kweni sindikuona ntchito yawo ine kkkkkkk mwina ndiumbuli wanga mwina,economy,negative,high,yes,
509,😂😂😂 u don't know how much the officers love money,economy,negative,high,yes,
510,Zativuta basi tivomeleze,economy,negative,medium,no,
511,A police nawo ndi anthu atafuna kupanga chinyengo ndiposavuta Chifukwa  iwoso ali ndi zofooka . Corruption is all over,economy,negative,high,no,
512,Apumbwa inu 😆,economy,negative,low,yes,
514,"Bweretsa mafuta iwe zakubvuta iwe  ,police ya chani?",economy,negative,medium,yes,
515,A police ake ati? Kkkkkkk azingolandilapo zammanja,economy,negative,medium,yes,
516,Kut atani ma filing station ndaboma,economy,negative,low,yes,
517,Wa police ndie mwini chinyengoyo,economy,negative,low,no,
518,BOMA ndilomweli,economy,neutral,low,no,
519,Neba mutu sukugwira kkkkk,economy,neutral,low,yes,
520,Tangokasakani mafuta azipezeka basi mensa Golide mwagulitsa akanganya inu,economy,positive,medium,yes,
522,Makosana oikondetsetsa Kwacha kuwaika pa filling station? Bwenzani ganizolo plz.,economy,negative,high,no,
523,Nawo apange ma allowance basi  Mafuta akazamapezeka nawo akhale atamanga nyumba basi iyaa!,economy,negative,high,yes,
524,Just ensuring the availability of the commodity basitu apolosi azikagwira vigawenga uko not kukhazika anthu pa mzere kuma filling station ⛽,economy,negative,high,yes,
525,"🤣🤣🤣🤣🤣🤣🤣 Nsima Administration.  Shupiti federation.  Ma plan akutherani mukungopanga zoyeserera basi, kuyika a police it's not a solution just bring enough fuel basi",economy,negative,medium,yes,
526,"Munthu wamaluzi ngat ameneyo..,,..naye akakatamuke sopano...kumatiso bola pena Petrol attendant amatha kukana ndalama koma siwaPolice...",economy,negative,high,yes,
527,apapa we cn comfrim kuti mafuta kulibe,economy,negative,high,yes,
528,"A police nawo akumafuna ndalama kuti ulowe,,,palibe chaphindu",economy,negative,high,yes,
529,Mhuuu,economy,negative,high,no,
530,Corruption ili mwa wa police,economy,negative,medium,yes,
531,Zavutapo ukooooo  under nthongo government 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,economy,negative,high,no,
532,Muziwalipira nokha osati directive yopanda pay,economy,negative,high,no,
