,text,topic_label,sentiment_label,confidence,include,notes
664,Wounded Malawi 🤕,economy,negative,medium,yes,
665,Ndani ankadziwa kuti filling station padzakhara alonda ABoma,economy,negative,medium,yes,
666,Aaaaah kungowonjeranso kuti mafutawo azigulitsidwa kwa anjinga ndi azigubu...coz men in uniform nde amalandiratu kkkkk,economy,negative,low,no,
667,Ndiye akangoonjezera kusokonezatu,economy,negative,low,no,
668,Zativutatu apa Kamzangaza... Bagamoyo,economy,negative,medium,yes,
669,Wapolice basi nthawi yake adye bwino,economy,negative,low,no,
670,Ngambwi ngambwi,economy,negative,high,yes,
671,Ife ana a Dad tili very happy kwambiri. Zinthu zikuyenda bwino,economy,positive,high,yes,
672,"Apolice ake athuwa ndithu? 
Pakuti iwo ndiye amapangitsa line ya a zigubu bola akutolera ma 20pin pachibucho. 

Solution ndiyobweretsa mafuta ambiri ngati munachitira pambuyomu , mukatero mwathan nazo",economy,negative,medium,yes,
673,Aaaaaa apapano mpamene chinyengocho chitakule,economy,negative,low,no,
674,Tangobweletsani mafuta ochuluka that's the best solution,economy,positive,high,yes,
675,Apolosi ake omwewa tikuwaziwawa kapena we will import???,economy,positive,high,yes,
676,Kkkkkkkk vendor simungamukwanitse.,economy,neutral,medium,yes,
677,Iiiiiii a police ndiomwe akuyambitsa chinyengo malo ngati awa,economy,neutral,medium,yes,
679,Basi tingolimba mntima,economy,neutral,medium,yes,
680,Kkkkkkk pakaipa shamwali,economy,negative,low,no,
681,Mpaka police koma kwachema,economy,neutral,high,yes,
682,Malawi is a movie itself 😂😂,economy,negative,low,no,
683,Zopepera🤣🤣🤣,economy,negative,low,no,
684,"Tiyambira wa police yooo kuledzeresa, it's not solution neey",economy,neutral,high,yes,
685,😂 😂 😂 Apolisi nde obweretsa chisokonezo,economy,negative,low,no,
686,Mesa amkati akakweza mafuta.. azipezeka? Mphalabungu zenizeni,economy,negative,medium,yes,
687,"Only aganyu aja munawalemba a ma reflector olembedwa MERA zimkayendako,police? Aaaa kuchimake",economy,negative,low,yes,
688,"🤣🤣🤣🤣🤣🤣🤣🤣🤣

Zativuta tivomeledze basi",economy,neutral,high,yes,
689,Wa Police naye amafuna ndalama,economy,neutral,high,yes,
690,wapolice yo kumuteroo azikhala ngat bwana nd iyeyotuuuu,economy,neutral,medium,yes,
691,A police wo nde oyambitsa  zimenezo..,economy,negative,low,no,
692,Kodi mesa amati mawa mavutowa akutha,economy,neutral,medium,yes,
693,Nthawi yoti naye wa police ananale,economy,neutral,high,yes,
694,"Hahahaha kubalalika2 tsopano uku,",economy,negative,medium,no,
695,"Is the police an angel 

Wa police wake naye woshota ngati ameneyo😂😂😂😂",economy,negative,low,no,
696,Ndimaona ngati anena kuti every filling station should have fuel 24/7,economy,neutral,medium,yes,
697,Bweretsani mafuta zinazo zisoveka zokha bas,economy,neutral,high,yes,
698,Mpak wa police 😂😂😂,economy,neutral,medium,yes,
699,Tikatero tiziti tasova problem?,economy,neutral,medium,yes,
700,Kumeneko mde kuonjezera chinyengo,economy,negative,low,no,
701,Kodi mesa mumati pofika lero mafuta Akhala Ali ngambwi ngwambwi,economy,neutral,medium,yes,
702,anthu abalalika,economy,negative,low,no,
703,Timathira full tank ndkukapanga drain kubweraso 🤣🤣,economy,negative,low,no,
704,A Police wo mesa nde ma main beneficiary,economy,neutral,medium,yes,
705,"My people football,  answer no power",economy,negative,low,no,
706,The presence of police personnel at filling stations is not a solution because they also receive bribes just like the petrol attendants.,economy,positive,high,yes,
707,Aaaa a Police ake ati omwewa achuluka kumwa kabangawa🤣🤣🙄🙄,economy,negative,low,no,
708,"Police????? Koma Malawi,do you still believe in those people?",economy,negative,low,no,
709,A police ngamwayi ma allowance mbweeee. Tangopangan zoti mafuta azipezeka bas,economy,negative,medium,yes,
710,More corruption than before😂😂😂,economy,neutral,medium,yes,
711,Mesa kuyambira  mawa akhala akupezeka  filling station ⛽ iliyonse 🤣🤣🤣🤣🤣,economy,negative,high,yes,
712,Aaaaah nde kukaika wa police eni ake chinyengo,economy,negative,high,yes,
713,Zilikotu a police kumagulisa nawo mafuta ...,economy,negative,high,yes,
714,"✔️angokhala gambwi gambwi basi ,, katangale ali mwama ofisala amenewa ndekuwaika ndi 0/10",economy,negative,high,no,
715,Ngati ku msonkhano ndithu,economy,negative,low,no,
716,A Police ndamene amakatoleranso ntonyo kwa wolowelera line. It doesn't make any change. Kasakeni mafuta okwanira tonse.,economy,neutral,medium,yes,
717,Amayambitsa Ndi omwewo,economy,negative,low,no,
718,Mpomontheskenge ba polisi oho 🤣,economy,negative,high,yes,
719,Aaah apolicewo nde number pa chat ya corruption 😂😂😂😂,economy,negative,medium,yes,
720,Wazigubu wakwiya kwambiri 🤣🤣🤣,economy,neutral,medium,yes,
721,Apolice nawo ndi anthu Ali mzofoka zawo,economy,negative,low,no,
722,Corruption plus corruption is equal fuel scarcity 😂😂😂,economy,negative,low,no,
723,Akulu sizingaphule kwathu police ya pa malawi ndiyachinyengo hevvy,economy,negative,low,no,
724,Kukakhila pumbwa kuchiphwete 😂 what a solution,economy,negative,low,no,
725,"Poti nayenso wa police amakondanso ziphuphu, palibe chingasinthe mungoonjeza anthu odya nawo",economy,negative,low,no,
726,Mwati a Polisiwo azikapangapo chani??bringing order??...aaaaaah,economy,negative,low,no,
727,Nde kuonjezera mavuto kumeneko.,economy,negative,low,no,
728,Koma muthalika dziko lija walifikisa apa ? Eeeee,economy,negative,low,no,
729,Kkkkk vigubu ku filing station 🤣,economy,negative,medium,yes,
