id,text,topic_label,sentiment_label,confidence,include,notes
209,Now we understand what is our problem in Malawi judiciary is connection with politicians that's why collapsion is very high Malawi Malawi Malawi how many times did I call you you becarefully with this judge's,economy,Negative,High,yes,
210,Judicial system yathu palibe Cha nzeru imachita kulimbana ndi amphawi okuba mbatata mmunda basi,economy,Neatural,High,yes,
211,What is the use of ACB? Ithetsedwe cause sizoona ai,economy,Negative,High,yes,
212,"Malawi just need factory reset, I don't see anything tangible coming in the next decades considering how rife corruption is in Malawi.",economy,Negative,High,yes,
213,We need shaliah laws,economy,Negative,High,yes,
214,Those entrusted to prosecute corruption cases are corrupt too,economy,Negative,High,yes,
215,Vuto ndiloti akakhala akulamula ndiwo akaba samangana until boma lina lizalowe kenako azayambe zofufuzana ndikumangana zomwe zimapeleka mpata kuti akakhala pa udindo aziba mkumakabisa ma account akunja munthu oba ndalama za misonkho sakuyeneka kumaka tetezedwa ndi lawyer aayii azipita kundende basi ndinjila yokhayo yothetsela katangale zomwe Traore adalamula dziko lake,economy,Negative,High,yes,
216,This country 😂😂,economy,Neatural,High,yes,
217,"There is no genuine commitment to fighting corruption. The current government still has officials facing corruption cases in court, yet they spend their time pointing fingers at others. It is difficult to believe they can address the issue in good faith..Tikufunika dictator osati this fake democracy",economy,Negative,High,yes,
218,Apapa azungu aja abwere azatilamurenso,economy,Negative,High,yes,sarcasm
219,"Pereya Nicholas Felix Pereya Mathematically when there talking about 2 decade there talking about first 15 years of DPP/Bingu,APM, PP/JB and the 5 years of MCP/LMC,lero ndangofuna ndingoyima pachilungamo ngati Munthu wa Mulungu....",economy,Neatural,High,no,irrelevant
220,Let's blame our judicial system has failed us 💔💔,economy,Negative,High,yes,
221,"The so called 2 big parties DPP and MCP share the blame.
Looks like the focus is more on Kongelesi than dipipi",economy,Negative,High,yes,
222,Davi Limu asawapatse kmene ndpo ngat saona bwno angosamuka mdziko muno,economy,Negative,High,yes,
223,Francis Ef-Jay Peter 😂😂koma ndie,economy,Neatural,High,no,irrelevant
224,Davi Limu nanga dzindalama dzonsedzo Inu,economy,Neatural,High,yes,
225,Khozi Nachisale Thanks I think I was too excited about the story kkk,economy,Neatural,High,no,irrelevant
226,"Khozi Nachisale Thanks,I just like constructive criticism not see things in party colours like it is nowadays.",economy,Neatural,High,no,irrelevant
227,Joseph Sanama aaaaa!!! Abusa nkhani za NEEF simukunenapo.,economy,Neatural,High,no,irrelevant
228,Pereya Nicholas vuto lanu mumafuna kuwona zithu mu party colours kkkk,economy,Neatural,High,no,irrelevant
229,Joseph Sanama .Abwana tangofunsani wina aliyense ku Malawi. Anthutu zoti ndi February amavuta uja kuli ziiiii!!! Mkhukukuta moyo watitha,economy,,,,
230,Pereya Nicholas zikugwilizana chani ndi Nkhani ya corruption tikukambilanazi?,economy,,,,
231,Wilson Nyirongo nde Sangathetu bcz omse ali kutsogolo ulendo uno mbiri zawo mzomwezo akulamula ma bail ali mthumba,economy,,,,
232,Pamenepo ndiye mavuto akanalipo,economy,,,,
233,Victor Chance Kayange add people's party 😃,economy,,,,
234,"Fanuel Kaliwanya yes, exactly 😀😀",economy,,,,
235,All the three branches of govt are heavily involved,economy,,,,
236,We are not ready as a country timasekela mbava kwambili and we shall never stop crying until then maybe we shall be better off.,economy,,,,
237,"Because of judicial system is rotten . The connection between judicial and political is where corruption entertained . 
They buy lawyer and lawyer buy a judge so that money buys lawyer and judge it makes judicial system to entertain corruption .",economy,,,,
238,ACB ithetsedwe sakutithandiza,economy,,,,
239,"Past two decades? DPP 13 years, pp 2 years, MCP 5 years 10 trillion, my Malawi my destiny, bunch of chaffs ruling, Malawians in prison outside prison",economy,,,,
240,Rotten judiciary,economy,,,,
241,And as we are talking some one in current administration have done it even more,economy,,,,
242,If the Courts are too corrupt what do you think the citizens will be ?,economy,,,,
243,"Why mw's corruption fights goes nowhere?

Answer: it's because of the rotten judiciary. It's not the politicians as we have been lied to nooo. Politicians do corruption cz they know they gonna go away with it freely.

I have been saying this. The root cause of corruption in Malawi ndima court. Nothing else. Koma mumakhala mukuwapembeza agalu amenewa mxiew",economy,,,,
244,The reason why people will never stop practicing corruption is that most of these high profile people they buy time and favours from judiciary as the results they walk away after some time. If we had a constitution that say's those who steal to be executed immediately I don't think it people would have steal anymore. In our societies the number of theft and bulgary reduced because people were being burnt by tyres.,economy,,,,
245,Jomo Leke This Judges needs to be impeached momwe maiko ena apangira.,economy,,,,
246,Jomo Leke I agree with you,economy,,,,
247,Gift Master Selengu anthu opusa awa aaaaah,economy,,,,
248,Problem is not politicians...but our judiciary system is rotten ...it does not have sanity ...,economy,,,,
249,"Ask Burkina Faso, Niger Mali this country soldiers may took over",economy,,,,
250,Democracy killed Malawi we thought it's a key to fraud n corruption everyone thinks of enrichment through back door with no regard to the poor,economy,,,,
