,text,topic_label,sentiment_label,confidence,include,notes
0,The buses can't go empty tipakiramo chamba tikagulitse tibweze ya fuel,economy,neutral,high,yes,
1,This man in every difficult situation timakhala naye give him a hand please 🤝,economy,positive,medium,yes,
2,Imagine if our country has 5 Bushiri type.?,economy,neutral,high,yes,
3,Ndikakhale Conductor in one of the Buses,economy,neutral,medium,no,
4,Oh! So the buses will go empty mmmmm The buses can't go empty am going to south Africa!,economy,neutral,high,yes,
5,"RBM should consider putting this man's face on our next new currency,,he is a living hero🔥💪",economy,positive,high,yes,
6,Future president,economy,positive,medium,no,
7,"Did you know that the first 3 letters from Sweden and Denmark combined together will give you Sweden 🔥🔥
And interestingly the remaining letters put together will give you Denmark 🔥",economy,neutral,high,yes,
8,True son of the soil. Large up,economy,positive,medium,yes,
9,I knew it....,economy,neutral,medium,yes,
10,I'm going to south Africa ma bus sangapite empty,economy,neutral,high,yes,
11,Dolo kwambili,economy,positive,high,yes,
12,The major 1 once again 🙏,economy,positive,high,yes,
13,Let him be remembered as one of the G. O. A. Ts to live in Malawi,economy,positive,high,yes,
14,Clapping hands for him,economy,positive,high,yes,
15,Anyamuka liti? My brother want to come to South Africa muzamutengeko,economy,neutral,high,yes,
16,Dolo kamillion,economy,positive,high,yes,
17,Which side of south Africa please asking for a friend,economy,neutral,high,yes,
18,"Nde ma bus adzipita empty?

Asking for a friend",economy,neutral,medium,yes,
19,"boma 8

bushiri 10

only genius knows🙌",economy,positive,high,yes,
20,Musamunvere. Zitheke kaye.😂😂,economy,negative,medium,yes,
21,He should drive on to and fro as well!! 🗣️,economy,neutral,high,yes,
22,This guy is too goated🐐,economy,neutral,medium,yes,
23,And mapholisa upon hearing that they have been prepared by bushiri boom  arrest those buses,economy,positive,high,yes,
24,Akamapita ma bus please take me with  them I need to go there 🙈,economy,negative,high,yes,
25,"This is great news!! 

However my problem is with the government..If these interventions are to be successful, travels to South Africa were  supposed to be restricted to those going for real business with evidence, meetings with evidence and medical attention.  The rest should be stopped for now",economy,neutral,high,yes,
26,My future president  uyu,economy,positive,high,yes,
27,That is God of major 1 😘,economy,positive,high,yes,
28,True definition of a millionaire,economy,positive,medium,yes,
29,He is preparing osati he has prepared.,economy,positive,high,yes,
30,He is an asset eeee,economy,neutral,medium,yes,
31,Giving is better than receiving..... Big ulemu wanu,economy,positive,high,yes,
32,"He knows how the sasafilikazi mistreat ppo🙄.
We deeply appreciate 🙏",economy,positive,high,yes,
33,"Government himself, l see you Major1",economy,positive,high,yes,
34,In every difficult situation this man amatengapo mbali has a citizen mmhu kupereka mumadalisa koposa kulandila may God remember his pocket.........,economy,positive,high,yes,
35,"Knowing this guy, the busses have been organized by ECG RSA chapter",economy,positive,high,yes,
36,The bus I was waiting for thanks prothet Shepherd bushiri,economy,positive,high,yes,
37,That's the spirit,economy,positive,high,yes,
38,Uyu zinazo a side but this guy he must get his flowers while he is alive?? Ndi dolo kwambili,economy,positive,high,yes,
39,Zofunka bigy,economy,positive,low,no,
