id,text,topic_label,sentiment_label,confidence,include,notes
113,"Same song,,,,,njira yanga sindifziwa tate muyikonze ,,,🙏🙏",economy,neutral,low,no,no
114,Mmm! K15 pin? Pa mavuto anthu akupezerapo mwayi.,economy,Neutral,Low,yes,
115,Inu Yanu  ndiyongonyamula mafuta basi. Mpaka kutiwuza kuti kukufunika 400 million dollars kkkkkkkkk. Boma likudikila penapake pakayenda,economy,Negative,High,yes,
116,Next week mpaka,economy,Negative,High,yes,
117,Ma transporter ndi oyankhulila boma kodi?,economy,Negative,High,yes,
118,So TAM is saying this in what capacity? Kapena ineyo zinditha kumvetsetsa zinthu,economy,Negative,High,yes,
119,Koma abwilibwisi inu zikuyenda mutumo?,economy,Negative,High,yes,
121,Chairman wapa rank ya ma rolly  kuyankhulila boma la a sakhwi 😂😂😂,economy,Negative,High,yes,
122,Ikatero TAM yadya chibanzi kuti inamize anthu,economy,Negative,High,yes,
123,Mkulukutamoyo🤣🤣🤣🤣,economy,Negative,High,yes,
124,Kodi lameck nayeso ali ndi mphamvu yomatipatsa ma updates mpaka kumatchula mitengo,economy,Neutral,low,yes,sarcasim
125,Khala chete naweso 100 ndizonyadiraso zimenezo 😂😂😂😂😂,economy,Negative,High,yes,
126,Fuel is not a business crop😐,economy,Negative,High,yes,
127,Awawa within 2 days adzakhara atha kaya,economy,Neutral,High,yes,
128,Iwe ndimayesa ukamba mbali yako yama truck? Za forex nzaiwe?,economy,Negative,High,yes,
129,100 trucks ndi m'mene kwaumiramu ndi tsiku limodzi limenelo.,economy,Negative,High,yes,
130,"Ndili form 2 bambo anga anamwalira pa ngozi ya galimoto ndakula ndi brother wanga ku South Africa komwe ndimaesa kugwira ntchito kuti ndisinthe moyo wanga ,2021ndinatenga pathupi ndi mwana wa bwana anga brother wanga sizinamusangalase ndipo anandithamangisa  ndipomwe ndimabwerela ku Malawi mtima umafunabe chuma ndimaesabe ma business 2023.ndikufuna thandizo la chuma ndipamene ndinapeza ndinawona post ku fecebook kuti Pali Dr amene akuthandisa anthu ngati Ali ndi nfutho ndinanti ndiyesepo mwayi wa mwina moyo wanga usinda ndi pamenepo ndinakumana naye GOGO KAFAMBE  amene ndinalumisana nawo PA chi thandizo cha chuma yoyambira  business 50 million kuchokela kwa GOGO KAFAMBE  wandithandinza ine lelo pano ndili ndi Sina  +265 982519734 WhatsApp ndiomwe anasintha moyo wanga. akafuna kuthandiza munthu saona nkhope ayi ngakhale mulibe kalikose ndizotheka ndi pamenepo naneso ndili pano kufothokoza mwina mwa anthu Ali ndi nfutho ngali ndinali nayo ine number ya GOGO KAFAMBE  ndi imeneyi ku Whatsapp or call umupesa yesani mwayi wanu zikomo +265 982519734",economy,Neutral,low,no,irrelevant
131,😍😍😍😍😍,economy,Positive,High,yes,
132,Chibwana kwambili 100 basi?? Ndi tsiku limodzi atha amenewo.,economy,Negative,High,yes,
133,😅😅😅,economy,Negative,High,yes,
134,🤣😂😂🤣🤣,economy,Negative,High,yes,
135,😅😅😅😅😅,economy,Negative,High,yes,
136,,economy,,low,no,
137,"First paragraph - Question - WHAT DELIVERY? All tankers that bring fuel to the ports of Tanzania and Mozambique come from the Persian Gulf. NO tankers have left there since 28 February. Do your own research. So I ask again, where do you think the fuel is coming from? 
It is time to stop deceiving the people.",economy,Negative,High,yes,
138,Chuma chopanda magazi kulipira zikhatheka ngakale muli kunja +265 987530145,economy,Neutral,low,no,irrelevant
139,"400 million dollars for the whole nation while thom has over 1.1 billion dollars in person, do you think what Iam thinking? 😅😀😊😊",economy,Neutral,High,yes,
140,"🤣🤣🤣 we've been there, done that and it always ended in tears",economy,Negative,High,yes,
141,"TRADITIONAL HEALER DR afiti samalani
Ngati muli ndi zaka 20 up to 70 years
WhatsApp or call (+265 995765800) 
 Ngati   mukufuna chuma   chimene   chilibe   magaziii  or munthu   ali   kunja   kwa ziko   lino. Zindingayankhule   zambili   chifukwa   anzanu   ndiye   akupita   inu  mukadari popaja  kut muzamuone   munthu atachita   bwino   komaso   anzanu   sangakuuzeni kut zinachokela   apa   whatsapp (+265 995765800) malawi or any country 🙏   Chikwama    wallet  ndi zina zambiri zikomo.🙏🙏🙏",economy,Neutral,low,no,irrelevant
142,"Week starts on Sunday 
Sunday is watching, kkkkk",economy,Neutral,low,no,irrelevant
143,Its ur turn G to G ija osadzaitola🤣,economy,Neutral,low,no,irrelevant
144,Is frank band and shadrick namalomba work in same office my grandma she want to know,economy,Neutral,low,no,irrelevant
145,MERA deligated TAM?,economy,Negative,High,yes,
146,"Frank Banda, the jiyaman",economy,Neutral,low,no,irrelevant
147,This Angle was taken at Ntcheu Boma 🤝🏽🤣🤣,economy,Neutral,Low,no,irrelevant
