id,text,Topic-label,Sentiment-label,Confidence,Include,Notes
249,Mbali yakuno kulibe chithu cha 20kwacha ky kwanuko,Economy,Positive,High,Yes,
250,Inu munapanga zokomera inu mwava vachaniso vimenevi teee ukaika muthumba mpaka kumakutsitsaxo trouser ngt watenga ndalama zambri mmm aaa gule abwere komwe wachoka,Economy,Negative,Low,No,
251,Chakwela zose izi aaa,Economy,Neutral,Medium,No,
252,Nde 5pin ija ichoke,Economy,Negative,Low,Yes,
253,Muchinangochotsa ndarama zimenezo kwaife palibe phindu,Economy,Negative,High,Yes,
254,So ma 20 Kwacha amapepala angawa ndipite Nawo kuti?😂,Economy,Negative,High,Yes,
255,Palibe chosatha ...ngat yatha 50 kwacha ine nd ndan😌,Economy,Negative,High,Yes,
256,"Ndikufuna ndalama izi zichoke 5000,2000 ndi 1000 zikusowesa mtendere isale 500 basi kuti malawian ilemele",Economy,Neutral,Medium,No,
257,Chomwe chinathetsa angoni nd kalingonda 🤣🤣,Economy,Negative,High,Yes,
258,Mwina vuto ndineyo,Economy,Neutral,Medium,No,
259,Nde China dzachiwone chikubweletsa ndalama ya chitsuloyi Ku shop kwanga dzachitukwana kwa bas oho😠😡,Economy,Negative,High,Yes,
260,Basi janus uja tiyamba kugula 100mk tsopano,Economy,Negative,Low,Yes,
261,Ana ayambeso kuzimeza mmakomomu tinapumatuu 🥱,Economy,Negative,Low,Yes,
262,Km zikoli aa,Economy,Negative,High,Yes,
263,Mu min bus kupeleka izizi akwiye akwiye,Economy,Negative,High,Yes,
264,Kuthako kwa dziko uku,Economy,Negative,High,Yes,
265,"inu bwanji osafusa kuti adaona kuti  k50 ikukhala ya coin ,zitsilu za anthu",Economy,Negative,High,Yes,
266,Dziko ilili mwalipengesa km,Economy,Negative,High,Yes,
267,Moti apang zobwezerets mphav ya notes km akuipwetekab aaaA,Economy,Negative,High,Yes,
268,I love this moneyz🙂👍,Economy,Negative,High,Yes,
269,Zizisowa mthumba izooo mwauze atipase ma special njumbo oyikamo 😂😂,Economy,Negative,High,Yes,
270,Ndiye kuti apepala atha ntchito??,Economy,Positive,Medium,Yes,
271,Apa basi kufupa tiziyambira handede🤣🤣🤣🤣,Economy,Negative,High,Yes,
272,"Ma change wo azingotipatsa ma sweet,, lather than kunyamula zingwinjiri mthumba",Economy,Negative,High,Yes,
273,Kunali k 10 ya chitsulo  lero ili kuti? Apa k 20 ndi k50 ikupita basi kwa ambuyache ....tiziyambira k100 kugula chithu,Economy,Positive,High,Yes,
274,Zachani izi ndy timati kuvakuja uku alah!!!!!,Economy,Neutral,Medium,Yes,
275,At first maona ngati anthu akusekelela koma ai ndithu 😂😂,Economy,Negative,High,Yes,
276,Ndalandila kale 50k ya silver 😂,Economy,Negative,Low,Yes,
277,I can imagine ndili ku ukwati,Economy,Neutral,Medium,Yes,
278,50 kwacha ikakhale ya coin abale 😔 obviously sungagule cholozeka MW ay zikomo,Economy,Negative,High,Yes,
279,Koma tili ndi anthu ophunzila kunoko.... Aaaaaaa,Economy,Neutral,Medium,Yes,
280,Ango panga introduce tizigwilisa ma us dollars nanga apa Chabwino nchan?,Economy,Positive,Low,No,
281,Malo mochotsa 5pin Akuti 20 ndi 50 ikupanga cost koma malayiii,Economy,Negative,High,No,
282,Zazii zen zen,Economy,Neutral,High,No,
283,"Anthu kuno mmene amakanila kulandira ndalama ya 20 kwacha ya pepala, ndiye pano alandira chifukwa yatuluka nthawi ya ulamuliro wa DPP kapena",Economy,Positive,High,Yes,
284,Tili ndi ana ofuthatu ife amaika kamwa izi aaa,Economy,Negative,High,Yes,
285,Kutha kwa 50 kwacha uku,Economy,Negative,High,Yes,
286,Shameless devaluation of kwacha. Avutike ndi anthu a kumudzi anamasipuni inu!,Economy,Negative,High,Yes,
287,Aaa km zoipat 🙆🙆,Economy,Negative,High,Yes,
288,Munthu ukamakalamba nzeru zimachepadi 🙆🙆🙆,Economy,Negative,High,Yes,
289,Folex bwanji,Economy,Negative,High,Yes,
290,"Chotsani ndalama zimenezo mu circulation zilibe ntchito kuphatikizapo K100 , K200 ndi K500 zonse zilibe ntchito.",Economy,Negative,High,Yes,
291,ine ndimaganiza anena zakuti dollars yapezeka,Economy,Neutral,Medium,Yes,
292,Moti zizitha kugula thin LA chimanga ndalamazo??,Economy,Positive,Medium,Yes,
293,Zitionongere zigayo tsopano,Economy,Neutral,Medium,Yes,
294,Ma coin anasowa,Economy,Positive,Medium,Yes,
295,Uzi nde ayiii aaaaa zachikale Ngat ngumbi,Economy,Negative,High,No,
296,Zimasokosa zimenezo kapena azijudulq,Economy,Negative,High,No,
297,Ngwenjele ngwenjele mu bag ukamaendano🙌,Economy,Negative,High,Yes,
298,Ife tinayambira k5 ya pepala,Economy,Negative,High,Yes,
