id,text,topic_label,sentiment_label,confidence,include,notes
330,Good movie,Economy,Positive,Low,No,no topic
331,Salute,Economy,Positive,Low,No,too short
332,Zamphamvu kwambiri,Economy,positive,Medium,Yes,praise
333,The machine,Economy,Neutral,Low,No,unclear
334,"Learning by doing approach, that's wonderful 🔥 🔥.",Economy,positive,High,Yes,teaching method
335,Code kampani ya maheu ija ili kut inu a mcp..,Economy,Neutral,medium,Yes,company
336,Something that the presidents failed to do!🔥,Economy,positive,High,Yes,leadership comparison
337,"Kma andale akanakhar amaganizaso ngat big man bwezi Malawi mavuto enawa kulibe ,kma aaaa tikangowavotera amangoganiza zokhutitsa mimba zao bas ulemu wanu big man 🙏",Economy,Neutral,Medium,Yes,governance comment
338,Keep it up mr🤗Home sweet home❤💫,Economy,positive,Low,No,praise
339,"Zikatero boma la DPP limukorekole, ma mafia amene amapindula ndi kugula fertelizer kunja,nzawo Chakwera anachivomera kale chinthuchi, musiyeni munthu amakonda Malawi.",Economy,negative,medium,Yes,criticism of government
340,Uyu mpaseni u president 🥳,Economy,positive,High,Yes,praise
341,"Pomwe ma politicians amakhala busy kudya misonkho ya a Malawi kenako kuzasaukaso...
 This is the way to go as a country",Economy,positive,Medium,Yes,
342,"Dear God, as far as Malawi is concerned. A Napoleon 5 ndiokwanira.",Economy,positive,Medium,Yes,leadership
343,Enafe ndiongepelekeza padzikoli,Economy,Neutral,Low,No,unclear context
344,"Zomwe dzombe sangapange,boma la Malawi silingalote mkomwe kuziyamba, president wa world of dowa!!nzeru za bambo okonda kwawo,kuika ndalama Malo oyenera,palibe angati mademo tikaphwanye katundu wa mtalimanja, or wachipani atalodzedwa bwanji sangatase manja ake uku, nzeru za bambo indeed!!!",Economy,positive,High,Yes,comparison praise
345,President waku DOWA,Economy,Neutral,Medium,Yes,
346,Kudya kulipo ......:,Economy,Neutral,Low,No,
347,What he needs is our support basi,Economy,positive,Medium,Yes,
348,Am in love with the movement 🔥🔥,Economy,positive,High,Yes,
349,Iyi nde Malawi government,Economy,Neutral,Medium,Yes,
350,2030 tikukapanga ma demo kunyumba kwawo avenge chinthuchi ayendese iwowo,Economy,Neutral,Medium,Yes,
351,"This is the kind of investiment we need as a nation. Napoleon Dzombe my role model, It is my hope that i will meet you one day to learn more from you.",Economy,positive,High,Yes,
352,Osat kumangolubwa lubwa,Economy,negative,Medium,Yes,
353,Intelligent man💪,Economy,Positive,Medium,Yes,
354,That's great 👍🏾👍🏾,Economy,Positive,Medium,Yes,
355,That's great,Economy,Positive,Medium,Yes,
356,Mpulumutsi,Economy,Positive,Low,No,
357,"Wisdom is never taught, this is a good thing to Malawi",Economy,Positive,Medium,Yes,
358,Good development,Economy,Positive,High,Yes,
359,Go ahead.,Economy,Positive,Low,No,
360,Dolo uyuyu,Economy,Positive,Low,No,
362,Athu kom ameneo osati anyani aj,Economy,negative,High,Yes,
363,Katundu bambo napoleon zombe,Economy,Positive,Medium,Yes,
364,So inspirational,Economy,Positive,Medium,Yes,
365,Nzeru zobambo transport,Economy,Positive,Low,No,
366,Yet anthu 21 million kusonkherana izi zimakanika. Malawi eeeeh🤣🤣🤣🤣,Economy,negative,High,Yes,
367,"May God bless you. 
 Development it's helps
 Muslims and Christians and other everyone out there. 
 So let us depend on workhard while we're praising and fearing God. God says in several verses :
 ""And do good; indeed, God loves the doers of good""
 ""Man will not get anything unless he works hard""",Economy,Positive,Medium,yes,
368,Zokongola,Economy,Positive,Low,No,
369,Where is simbi and mpinganjira project bushiri has goshen Dzimba has this,Economy,negative,High,yes,
370,Pomwe wina has been an MP for more than 15 years koma kumangowabera anthu 😭,Economy,negative,High,yes,
372,"It's high time malawi give an opportunity to fellow malawian who are capable investing in their own country the likes of Napoleon, Simbi, Bushiri, Mpinganjira etc",Economy,Positive,High,yes,
373,Chomwe chimandwaza kumalawi anthu achumawa akaona wina wapanga chinthu chazeru. Winaso amazapanga China. Popano timuona bushiri akupanga company yopanga mafuta,Economy,negative,High,yes,
375,Eeeeee uyu ni murara,Economy,Positive,Medium,yes,
376,Dzelu,Economy,Positive,Low,No,
378,Good development,Economy,Positive,high,yes,
379,Azanthu akumwera sakukunkhuzani mumawatukwana kwambiri anthu a ku Dowa nanu muzipanga zanu apo biii muzidya chitedze pakuti munazolowera kale,Economy,negative,high,yes,
380,Uyu akuposa Mr 6 billion kuganiza,Economy,Positive,Medium,yes,
381,Munthu wamkulu 🔥✌️,Economy,Positive,Low,No,
382,"Pepani akudowa timakulakwilani,, ponena kt ndinu mabulutu 🙌🏾🙌🏾🙌🏾😢",Economy,neutral,high,yes,apology
383,Malawi okongola,Economy,neutral,Low,No,
384,Chandale china chakwiyilatu hahahahahaha apa Dzombe wabudula mmemo wa Minister of Agricuture,Economy,negative,high,yes,
385,Wow great job🥳🥳,Economy,Positive,Low,No,
386,"Abwana wa amaona mwai mu zinthu zomwe ambili timadandaula, umeo
 The guy sees an opportunity like a star in dark, for what most of us complain of. Love it 😍",Economy,Positive,high,yes,public criticism
387,This is beautiful...,Economy,Positive,Low,No,
389,Dowa dowa,Economy,neutral,Low,No,
390,This guy must be respected indeed,Economy,Positive,high,yes,
391,He's an answer than Malawi government,Economy,Positive,high,yes,
392,Shasha kwambili 🤝🔥,Economy,Positive,Low,No,
393,Katundu waboma Dzombe🔥,Economy,Positive,Low,No,
395,Wow! Finally. God bless you Mr Dzombe.,Economy,Positive,high,yes,
396,Nkhan iyi yandisuntha nsaname,Economy,neutral,high,yes,
397,"Kumalawi kuno tiri ndi 
 Bushiri
 Napoleon Zombe
 
 Machini athu athu awa.",Economy,Positive,low,No,
398,I hate politicians...mbava zomwe zikulowesa pansi dziko lino... whether MCP or DPP same old shit,Economy,Negative,High,Yes,
399,God bless Malawi 🇲🇼,Economy,Neutral,High,Yes,
400,Dowa ndi dziko palokha,Economy,Neutral,High,Yes,
401,"Mwini Dowa .
 under the Leadership of APM",Economy,Neutral,Medium,Yes,
402,Km ngat nkotheka njala mayaz,Economy,Positive,Low,No,
403,Uyu dolo kwambir,Economy,Positive,Low,No,
404,Dolo kwambiri,Economy,Positive,Low,No,
405,Ameneuja ndi ziko paekha,Economy,Neutral,Medium,Yes,
407,"Chimene chimandisangala nkuluyi ndichakuti always brought his development to his country this is wonderful people have money but they choose to invest it outside our country That's a very bad,mtima osakonda dziko lawo.",Economy,Positive,High,yes,
