,text,topic_label,sentiment_label,confidence,include,notes
166,Amakwana bigy,economy,positive,high,yes,
167,Ndikwele nawo mkangoonako mkabwelanso pa bus yomweyo,economy,neutral,high,yes,
168,B Nyamula Bag I think nthawi yopitila ku den yakwana  kwakwana,economy,neutral,low,yes,
169,Katundu,economy,positive,high,yes,
170,Power,economy,positive,high,yes,
171,That's we call him major 1,economy,positive,high,yes,
172,Tibwereko,economy,neutral,high,yes,
173,Zikomo papa,economy,positive,high,yes,
174,Kututa ngagwaaa!!! Masheeeenniiii Ayimwene.! Dolo,economy,positive,high,yes,
175,William Turf Boss Zimba afana mwayi subwela kawili kazibweran bro..🏃🏾🏃🏾🏃🏾✌️,economy,neutral,high,yes,
176,Akabwerako aziti Bushiri ndiwa satanic 😒,economy,negative,high,yes,
177,Nthawi Ndiyomweyi,economy,neutral,high,yes,
178,"Wina amagundika kumutukwana koma apa akwera mawo😅,
Komaso achina liabunya tumizason anu",economy,negative,high,yes,
179,bola anyani aja asakachuluke nzelu kut alande ma bus wo paja wathuyu amamusaka ndikale,economy,negative,high,yes,
180,very supportive bwana zofunika ndithu,economy,positive,high,yes,
181,"Pamene kumkuyu, chimthyola, chakwera ndalama zomwe adaba akungosetera kuchimbudzi anthu oipa",economy,negative,high,yes,
182,Athu aku Malawi osayamika zomwe wakupangilan muthu,economy,negative,high,yes,
183,Akafika mundiuza ndili mu Georgemu😭😂😂😂,economy,neutral,high,yes,
184,Ndie kut boma ndi bushiri kuchuluka ndalama bushiri 🔥🔥,economy,positive,high,yes,
185,Muthu muIaIa,economy,positive,high,yes,
186,Shasha kwambiri uyu,economy,positive,high,yes,
187,"Kungoti anthu simungandikhulupilire, koma Bushiri uja ndi brother wanga. Tinangosiyana bambo ndi mayi.",economy,neutral,high,yes,
188,Boss wanthu wanthu 🙏,economy,positive,high,yes,
189,Faz sithoka bho Koma man wa amathandiza,economy,positive,high,yes,
190,Munditenge mukandisiye mu Harare ndizikabwerera ma bus wo Sangangopita okhaokha,economy,neutral,high,yes,
191,Dolo ka handede,economy,positive,high,yes,
192,Zabwino kwali,economy,positive,high,yes,
193,Iyi nde mkwela nawo guys si zomwe ndaona lero 😭😭🙆,economy,neutral,high,yes,
194,God bless you,economy,positive,high,yes,
195,Ine bus ndikwela koma ndikasikila panjila zojambulana zija ai mfwethu kkk,economy,neutral,high,yes,
196,Kkkkk ndizomwe timafuna Amalawi osaphuzira kanthu 😅,economy,negative,high,yes,
197,Amen...,economy,positive,high,yes,
198,Takulandila kuno kumasitha,economy,neutral,high,yes,
199,Ndapangisa ya pompopompo musandithawe popitapo,economy,neutral,high,yes,
200,Bola eeeshy,economy,positive,high,yes,
201,Ndipo bushili ku malawi kuribe size yake pothandiza athu muthu uyuyu murungu azimudaritsa 🙏🙏🙏🙏,economy,positive,high,yes,
202,To God be the glory 🙏,economy,positive,high,yes,
