id,text,topic_label,sentiment_label,confidence,include,notes
0,And I quote the word last two decades,economy,Neatural,Medium,yes,
1,"Maybe a better option is for countries to not just give funds to the Government, but give to well established organizations that have a good and proven record with giving funds where they are needed. Most politicians look to build up the cities, not realizing that it is the farmers and villages that can grow the country, yet struggle the most. An old saying goes, ""A rising tide floats all boats"".",economy,Negative,Medium,yes,
2,Malawi needs a Hard Reset....we can make it happen if we're serious about it.,economy,Positive,High,yes,
3,ACB in Malawi has always been under political influence and it needs independence for it to carry out its mandate.,economy,Neatural,Low,no,
4,"Boss, You See That comment you're looking for.. Kindly Type it Yourself 🤦‍♂️",economy,Neatural,Low,no,
5,"Repeated stories, nothing is strange",economy,Neatural,Medium,yes,
6,"I told certain toddlers just last week that since we got multiparty system of government, Malawi is trailing behind ,roads,hospitals, companies sold ,houses sold ,depots shared, banks sold, next move to rule Malawi, taxes except air for breathing out of hospital",economy,Neatural,Medium,yes,
7,"Ndikuona ngati ma donors aja asamapereke ndalama,azingobwera ndi zitukuko basi through ma organisation odalilika...zikoli litha kumasinthako 😖😖😖",economy,Neatural,Medium,yes,
8,Mukadalembako mchichewa koma zinazi ... Enatu agundika kuseliku akunamiza anthu amvekere koma the so called party mpaka ma Trillion onsewo just five years.... Sakudziwanso kuti decade imatanthauza chani... Hedee uluu,economy,Positive,Medium,yes,
9,Accounting for 30% of the annual budgets and compounding to current values it should be more that,economy,Neatural,Medium,yes,
10,Mosh Gilbert are you serious young man ?,economy,Negative,Medium,yes,
11,"Mosh Gilbert kungokhala independent ndiye katangaleyo afika ponyasa, you can see ma court independent koma kulikatangale kopsa",economy,Negative,Medium,yes,
12,"Frank Mulonya makadi ma court paja samazuzulidwa , salamulidwa , sauzidwa zochita",economy,Neatural,Medium,yes,
13,Mosh Gilbert what about those rotten corrupt judges in our Court ?,economy,Neatural,Low,no,
14,Mac Argent kkkkkk,economy,Positive,Low,yes,
15,Biliat Bartholomew that includes everyone has been complicity.,economy,Negative,Medium,yes,
16,Chris Chawanda Malawi amafunika kukhala ndi president ngati kamuzu banda basi ulamulilo wokoza dziko kwaine democracy it's nonsense system .even panopa muthu akaba mboma samangidwa ayi,economy,Negative,Medium,yes,
17,"Oscar Bash Mphaya Exactly,",economy,Positive,Medium,yes,
18,Achina Sean iwe ndiwe wanenesa,economy,Positive,Medium,yes,
19,"Achina Sean it's impossible bro, even ma organization wo kut agwre ntchto authority imachokera Ku Boma komweko they can work without consent from Gvt",economy,Negative,Medium,yes,
20,Paul Muchocho ndiye mkutaninobapa chifukwa ndiye sizikuyendatu 😁😁,economy,Neatural,Medium,yes,
21,"Dennis Burton what well established organization without corruption? All those plenty plus organization Malawi had ever since what impact has brought to lives of people,,leave the mindset of of getting funds from other countries,, malawi must make funds through industrialization,mega farming, mining etc..",economy,Neatural,High,yes,
22,Dennis Burton exactly,economy,Positive,High,yes,
23,Dennis Burton it's just the same,economy,Neatural,Medium,yes,
24,"Dennis Burton I'd not even dream of any organisation to handle donor in a civilised manner as long as it is managed by we Malawians. We almost all come from miserable backgrounds to be able to avoid temptation when it comes to 💰. The reasons we are poor always remain with us a those very reasons are why our Parliament, ACB, Police and Courts are like almost don't exist.",economy,Neatural,Low,yes,
25,"Sodium Jamahiriya There are some Christian Churches and organisations that have given help, working with the locals. Bananabox from the Uk sends many 40ft containers the Northern Malawi full for clothes and books etc. I know that if funds were given to build Eye Clinics and other helps that would give more people an opportunity. I thinking a ‘hand up’, not just a ‘hand out’.",economy,Neatural,Medium,yes,
26,"Charles Omar My thoughts are Christian Churches and organisations that can help people in health and wellness, to get better use from their land, so they are able to support themselves, and even those around them. There is something special and invigorating when one can help another, even infectious.",economy,Positive,Medium,yes,
27,"Jamson Kamuwando Ngea Maybe, but not all. There are some Christian Churches and organisations that care enough about others, even to the expense of self.",economy,Positive,Medium,yes,
28,"Dennis Burton those that are rooted to the teachings and foundation of the church,l will agree",economy,Positive,Medium,yes,
29,Dennis Burton no results are realised as long as we Malawians are directly involved in operations.,economy,Negative,Medium,yes,
30,"Charles Omar I have seen different, may that increase 🙏😇",economy,Positive,High,yes,
31,How much is the national budget for a year??,economy,Neatural,Medium,yes,
32,I always say. No matter how much tax we can be paying koma ngati Malamulo sadzigwila ntchito mudziko muno we will not move even a step towards development. Dziko lanji loti Malamulo adzigwila ndi oba nkhuku koma ma Millions AYI... Rubish,economy,Negative,Medium,yes,
33,Ine ndikuvomereza kuti makhoti Athu satithandiza kuti kolapishoni ingathe chifukwa madijani amachuluka pamene milandu kupita kwa afumu imayamba ndikutha tsiku lomwero zimakhala bwanji,economy,Neatural,Medium,yes,
34,"Zimachitsa manyazi kuona maiko ena akuchita bwino ife ai. Pa bwalo la ndege ngati pa manda koma a President, a minister amatera pompo kuchoka kunja. Saona kusiyana? Anthu akugona ndi njala koma kukana ati aliyense akudya. Muzipatala mulibe mankhwala, anthu osowa akubvutika ndi matenda..it breaks one's heart. Ku Malawi kuno kuli ndalama zoti dziko lathu litha kusintha kuposa ena if we prudently put to use every coin.",economy,Negative,Medium,yes,
35,Kinyata nyirenda ndi anzake ndi omwe akuva kukoma mu dziko muno komatu che kinyata nyirenda woo atha itha kale mwina akuwona ngati azaguraso moyo wina,economy,Negative,Medium,yes,
36,A ndale onse ndi amodzi ndipo ndi zitsiru,economy,Negative,Medium,yes,
37,Zonsezi ndi DPP and MCP,economy,Negative,Medium,yes,
38,Vuto ma court komanso andale,economy,Negative,Medium,yes,
39,Aliyense alikumeneko kukhutitsa mimba yake osati zokoza dziko,economy,Negative,High,yes,
40,Ubwino wake akudya ndi aMalawi azathu. ☹️💔,economy,Neatural,Medium,yes,
41,Lizwelithini Khumalo-The Prince Tebakavu namwi yinwi.,economy,Neatural,Low,no,
42,Billy John Byoccotal Nyirongo Dpp,economy,Neatural,Low,no,
43,Stephano Chikalipo aaaaaaah😂😂😂,economy,Neatural,Low,no,
44,Nelly Shaba Chisale anaba ma billion koma angomuyangana,economy,Negative,Medium,yes,
45,MA Member ndiye vuto ndi mbwiyako kinyata nyirenda ndi azake,economy,Neatural,Medium,yes,
46,Nelly Shaba is Kenyata Nyirenda the overseer of the graft controlling body... Zinazitu kungonenera ugong'oli,economy,Neatural,Medium,yes,
47,"Nelly Shaba Mukuwerenga nkhani iti yomwe patchulidwa ""Kinyata Nyirenda """,economy,Neatural,High,yes,
48,Gib Giblion panga zoti zikuthandize sindikulembera pa khomo pako kapena pa amako,economy,Neatural,Medium,yes,
49,Gib Giblion munthu modzi amene akuyikira kumbuyo mbava zoba ma trillion kuno ku malawi mwanjira ina pa thako pakoso,economy,Negative,Medium,yes,
50,Nelly Shaba atanena za chisale iweyo wakwiya chifukwa chan?,economy,Neatural,Medium,yes,
,,economy,,,,
