id,text,topic_label,sentiment_label,confidence,include,notes
332,Hiiiii mapholisa nde mbavatonizo,economy,negative,high,yes,
333,Wa police ndi munthu,economy,neutral,high,no,
334,Fuel is readily available as if tili ndi zitsime zamafuta,economy,negative,high,yes,
335,A police ndiye number one chinyengo,economy,negative,high,yes,
336,Angomenyedwapo ulele mapholisayo,economy,negative,high,yes,
337,040 pa filling station ett,economy,neutral,high,yes,
338,Mwini chinyengo,economy,negative,high,yes,
339,Wa police naye ndi Munthu amafuna ndalama pamenepo mwadeya,economy,negative,high,yes,
340,Nde muona ngati za illegal fuel purchases sizingachitike chifukwa choti pamalopo pali wa polisi?,economy,negative,high,yes,
341,Aaaaaaaaaaa wapolice aletsa chinyengo eti?,economy,negative,high,yes,sarcasm
342,Tangoikani fuel ng'ambwing'ambwi zimenezo kukhala kulibe,economy,negative,high,yes,
343,"Za ziiiiii, apolisi wo nde omwe amaonelera za chinyengo zikuchitika.",economy,negative,high,yes,
344,Aaah kkkkkh wa police naye ndimunthu,economy,negative,high,yes,
345,Don't forget salary ya wa police siidalowebe eti,economy,negative,high,yes,
346,Pamenepo mwateteza kapena kulimbikitsa,economy,negative,high,yes,
347,"My country football

Tafika apa kodi?

Where are we heading to?",economy,neutral,high,no,irrelevant
348,Wa police panopaa ndimunthu osavutaa kumupangaa bribe,economy,negative,high,yes,
349,Solution kubwelesa fuel wambiri wa police naye ndi munthu. Safuna kudya ndani,economy,negative,high,yes,
350,Takweza mafuta kuti adzipezeka mdziko muno mosavuta,economy,neutral,high,yes,
351,Apa khoswe kumutsekera muthumba la mtedza,economy,negative,high,yes,sarcasm
352,Anthu azipeleka ndalama kwa omwewo a police mkugula mafuna mwakuba,economy,negative,high,yes,
353,Ati bola akwere koma azipezeka okay??,economy,neutral,medium,no,
354,Aaaa apolisi ake oletsa ma jerry can wo ati?? 🤣🤣,economy,negative,high,yes,
355,Nzoonadi kuti maluzi akapitilira muyeso mutuso umazakhala ngati wazungulira...,economy,neutral,low,no,
356,Put cameras not police demet,economy,negative,high,yes,
357,Wa police naye ndi munthu sangakane chithumba ndiye kuti nanunso zakuvutani?,economy,negative,high,yes,
358,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkl,economy,neutral,high,yes,
359,Km zavtad,economy,negative,high,yes,
360,amene akufun mafuta anipeze,economy,neutral,high,no,
361,Hahahaha nde Poti a police wo ndiomwe amayambitsa,economy,negative,high,yes,
362,Kufuna kumuphetsa mwana wa eni anthu anatopa,economy,negative,high,yes,
363,Ku Malawi,economy,neutral,high,no,
364,"Mwala okanidwa pano ndiwapangodya Petroda, Area 30  😂😂👌",economy,neutral,high,no,
365,Naoso adye nawo,economy,negative,high,yes,
366,Apolice anuwo akumalandiranso ndalama nawo ngati ma fuel attendant hahahaha ine ndi mboni,economy,negative,high,yes,
367,A Malawi yemwe anatiloza anamwalira. Inu adindo chofunika ndi kubweretsa mafuta ambili osati zomayika a police mmafilling station sizithandiza. Vuto ndi mafuta mkubweretsa ochepa kwambili.,economy,negative,medium,yes,
368,Palibe chomwe amapanga,economy,negative,high,yes,
369,A police ndamene amayambisa kulandira ndalama kwama vendor azigubu,economy,negative,high,yes,
370,Eish baraba atimaliza,economy,negative,high,yes,
371,Aliyense ndiobzlalika,economy,negative,high,yes,
372,Dealing with symptoms. The cause Katangale alipheee angotiyang'ana. There shall be signs.,economy,negative,high,yes,
373,Hahahahah malawi wanga ai zikomo ...police yachani ? Kale chimapangisa kuti tizigula mosavuta palibepo a police ndichani? Meaning solution palibe yothesera kusowa kwa mafuta ? If azikhalabe a police meaning  mafuta sabwera ochuluka not so? Hehehe sorry anthu ovotanu ndakuverani chisoni kwambili,economy,negative,high,yes,
374,A police ake ati 😂😂😂😂 bola nawo asamabwele ndi zigubu kuti Ayambe black market,economy,negative,high,yes,
375,Ndangopangani zokuti apezeke mafuta wo basi. Aaaaaaaa,economy,neutral,high,yes,
376,Anthu amagula galimoto kukakhuthula you can find munthu Ali ndi chigubu,economy,neutral,high,no,not clear
377,Mwe imwe wapolice wake mba wanganyamwe 😂😂,economy,negative,high,yes,
378,Aaaaa akuuza mbava zmene kut zdzkalondela😆😆😆,economy,negative,high,yes,
379,Munkayankhula motumbwa Kut bwanj osangochulitsa magutawo akatero anzigubuwo adatopa nawo okha lero zikukanika patipo kod kwanchilutsa basi😂😂,economy,neutral,high,no,not clear
380,Tidzituma wa galimoto full tank nkukabudura inuyo tayeyana tayeyana,economy,negative,high,yes,
381,Proven leadership,economy,positive,high,yes,
382,It's only MERA officials who can help on that when present. Apolisi amalandilaso ndalama kwa anthu nkumagawana ndi fuel attendant,economy,negative,high,yes,
383,Kod mesa ankati ndakatakwe kkkk aaaa andale ndamodzidi,economy,negative,high,yes,
384,Boma 3 presidents koma mbwelera eeeeh,economy,negative,high,yes,
385,Akanganya inu mukuchulutsa zochita tangobweresani mafuta  ngambwi ngambwi wo basi,economy,negative,high,yes,
386,Not police but army is fine,economy,neutral,medium,no,
387,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 yalimba mkandilo,economy,positive,high,yes,sarcasm
388,Pakalapakala boma,economy,negative,high,yes,
389,"Police ya kumalawi eee ndiye suidziw tu, in Malawi number corrupted department is police so its like kukakhil pumbw kuchipwete.",economy,negative,high,yes,
390,ndamva,economy,neutral,low,no,
391,"Police officers are most bribed people in Malawi. If this is the case, let  MERA deploy all pastors and men of gods to filling stations to ensure transparent and accountability 😂😂😂😂😂😂😂😂",economy,negative,high,yes,
392,Pamene iwow ndiye okonda za illegal zo. Ingomapakirani mafuta okwana pa filling stations that's only way to cope up with the illegal 🙄 😑 😤,economy,negative,high,yes,
393,Mesa at zitha kuyambira lero............,economy,positive,high,yes,
394,BOMA latangwanidwa,economy,negative,high,yes,
395,Kutengera ndi malipiro omwe apolisi akulandila palibe chomwe mwachitapo pamenepo apo ndiye mukufuna anthu avutikiletu apolisi ndiwo achinyengowo khani pezani chabe mafuta wokwanila basi azipedzeka paliponse osati zomwe mukunenazo ayi,economy,negative,high,yes,
396,"😂😂😂😂 muononga ndarama zingati  za allowers kuti muike alonda ma filling stations onse m,malawi muno?  kuganiza ukuku dziko silingatukuke ndarama zizingothela zazii, pangani zoti fuel azipezeka palipose aa",economy,negative,high,yes,
397,A police kungowapatsa 2 pin basi akhala chete boma apa lavomeza kuti zavuta mwambi wanga nawu chikaluma mzako usayese chakhuta mawa Chiluma iweyo wakuva wamva apa,economy,negative,high,yes,
398,Mwati wa police ayi chabwino,economy,negative,high,yes,
399,Mesa apolice nde aziphuphuwo mwangodzionjezela bill mitu sikugwila nkupempha kuli ndiwa police angakane chinyengo chamuzigubu 🤣🤣🤣🤣 anatulutsa fundo imeneyo nde ndani pa nkumano wanuwo?,economy,negative,high,yes,
400,Tazolowela bas,economy,neutral,high,yes,
401,mwazingwa matama aja akutherani,economy,negative,high,yes,
402,Apolice achiyani amasokoneza,economy,negative,high,yes,
403,Chabwino tamva komano zobweretsa mafuta zikuti bwanji?,economy,neutral,high,no,
404,"Pakalapakala gvt,kwinakunso wina akutsatsa company ya Salima Sugar",economy,negative,high,yes,
405,"Mesa a police nawo ndi anthu aaah...

Police ndi uniform ija basi",economy,negative,high,yes,
406,deal is to just ensure fuel in all available fuel ⛽ stations...,economy,neutral,high,yes,
407,Kusonyeza kuti khalidwe la a police mumalikhulupirira?,economy,negative,high,yes,
408,"Every crisis is an opportunity Kwa winawake

Zilindinu",economy,neutral,high,yes,
409,Hahaha 🤣 boma lazungulira mutu 😂,economy,negative,high,yes,
410,Children are few ana achepa,economy,negative,high,yes,
412,Koma amasokonezatu nawonso pena pake coz amafuna azilowetsa azinzawo through back door. Atipeza tawalandira.,economy,negative,high,yes,
413,"Wapolice safuna ndalama???, 😂",economy,negative,high,yes,
414,Aaaa mwati A police apo nde mwawonjezela moto .eni chinyengo awo,economy,negative,high,yes,
415,Kuonjezera chazi kununkhatu alemerenso bs apo ndie zalowa plus,economy,negative,high,yes,
416,naye wa police ndi munthu,economy,neutral,high,yes,
417,Kugula mafuta kwinaku akukulozetsa mfuti kumsana,economy,negative,high,yes,
418,"A Malawi nda muludzu, mafuta amkagula K2000 mkathu  , zowona kusankha kugula k7000 lero?",economy,negative,high,yes,
419,"Abalalika ma guys awa, anthu akumathila full tank mu njinga or galimoro nkukapanga drain uko osati za ma Jerry can akuganizazo",economy,negative,high,yes,
420,Aliyese wafika potopa,economy,negative,high,yes,
421,Kkkk kulukuta dolo mudziwaso 💔💔💔🤣,economy,negative,high,yes,
422,Wa police  ananale,economy,negative,high,yes,
423,Mmmmmmm boma lapanikizika 🤣🤣🤣,economy,negative,high,yes,
424,Kale lija munkati bwaaaaa,economy,neutral,medium,yes,
425,Zovuta zipitilila nyama za nkhalango mutu 3,economy,neutral,high,no,irrelevant
426,Police yachaniso tangopangani zoti fuel azipezeka apa mwapanikizikatu,economy,negative,high,yes,
427,😂😂😂😂boma ndi lomweri bas 2030 tidzangosithako mkulukuta moyowo,economy,positive,high,yes,
428,takweza mafuta kuti azipezeka😂😂😂😂😂boma labalaba,economy,negative,high,yes,
429,Hehehehehe police ndiye corruption too much a traffic onse ukuu akatolera zawo .mudakayikamo asilikali better kma police department of ziphuphu,economy,negative,high,yes,
430,"Mfundo iyiyi ndimaiona kuti njofoila kwambiri...  do you think kut aliyense wogulila mafuta mchigubu ndiyemwe akuononga fuel? Imagine munthu mafuta akuthela panseu without  use of chigubu ulendo upitilira motani,,, tamatsutsanani mfundo zinazi before announce...  just deal with black market mmisewumu not at filling station.",economy,negative,high,yes,
431,Malawi government,economy,neutral,high,no,
432,It's useless as the police are the most corrupt people that can not be trusted 🚮🚮,economy,negative,high,yes,
433,🤣🤣🤣🤣🤣 Mpakana police pa filling station Joshua Mlotha,economy,neutral,high,yes,
434,"Wa police wake wakumalawi, ayi zikomo",economy,negative,high,yes,
435,Alemeratu a police,economy,positive,high,yes,
436,Aaaaaa ndiye bola kungosiyanso apolice ake ati?,economy,negative,high,yes,
437,MALAWI police?,economy,neutral,high,yes,
438,Apolice ndamene amayambitsa kuti anthu azipereka kena Kake akamathira mafutawo,economy,negative,high,yes,
439,Ndani angakane ndalama ndi timalipiro tochepati,economy,negative,high,yes,
440,Suleman alipo kodi 🤣🤣🤣,economy,neutral,high,no,irrelevant
441,Mkulukuta moyo akubwela ndizelu dzausilutu,economy,negative,high,yes,
442,Momwe amafunila 2pin wa police,economy,negative,high,yes,
443,Mapholisa adya mane😝,economy,negative,high,yes,sarcasm
444,Mmalo Moti apolice azikagwila okuba uko mukuwawunjika MMA filling station aaaaaa blue camp zinthu zikukuvutanitu,economy,negative,high,yes,
445,"A Police ndiomweso amatsogolera kuti anthu azilowera kaya kkkkk, komanso kuthira mzigubu",economy,negative,high,yes,
446,"Ama jerricans mmesa nawo akumadyera momwemo!? Ingoyankhurani Chilungamo ngati zakuvutani. Alipo wapolisi  amakana ndalama!? Awo nde eniake achinyengo, ndipo ganizolo sikusova vuto, koma kuwonjedzera bvutolo chifukwa wapolisi amafuna ndalama hvy! Ndipo olo kumpasa K1000 utunga even 300ltrs.",economy,negative,high,yes,
447,Mesa amati kuyambira lero apezeka paliponse,economy,negative,high,yes,
448,This is not a solution to the problem,economy,negative,high,yes,
449,Km a police alemela,economy,negative,high,yes,sarcasm
450,Anthu kumalawi kuganiza kumativuta tibweresa tima i dear topoira always,economy,negative,high,yes,
451,But the minister said by monday we gonna have alot of fuels in the country and people are tired of those speeches and sha better keep quiet and act in silence,economy,negative,high,yes,
452,"Muwaphetsa ana aeni ulere asiyeni aPolice amve kukoma moyo nawonso ndianthu osamawaika pamalo pomwe mwaonongerapo nokha cholinga iwo akaferepo ai 

APolice ndiabale athu naonso moyo amawukonda otherwise 

DPP zakuvutani koma mwachangu kwambiritu",economy,negative,high,yes,
453,Aaaaaaaa apolisi wo nde apangitsa kut fuel apezeke? 😂,economy,negative,high,yes,
454,Bas wa police azuzikee nkhan yake itio abale aaah kma kuno ntchito zinazii 😂😂😂😂🙌🙌🙌🙌,economy,negative,high,yes,
455,First time to hear it,economy,neutral,high,yes,
456,Police Officer nde wachinyengoyo😂😂,economy,negative,high,yes,
457,Apolisi ake asakhale aku Malawi tu,economy,negative,high,yes,
458,Kumalawi kulibeko wapolice,economy,negative,high,yes,sarcasm
459,Kungowonjezera osusa nawo koma katangare ndi ndiwo pano,economy,negative,high,yes,
460,Mwayiwala kuti ndi business munthu amagula m'mene akufunila,economy,negative,high,yes,
461,Polisi ndiye vutolo,economy,negative,high,yes,
462,Inu tangopangani zamafuta okhanira winaaliyense akhare nawo basi,economy,negative,high,yes,
463,Mmene akuloeeysera chibwana MA pwilisi PA filling station hmmmm,economy,negative,high,yes,
464,A police ndiwo achabewo nanga,economy,negative,high,yes,
465,Timasulileni baraba,economy,negative,high,yes,sarcasm
466,Mmmm apolisi ake atiwo inu mmmm,economy,negative,high,yes,
467,Vomerezani kut dzakuvutani bass,economy,negative,high,yes,
468,Mzeru zatha,economy,negative,high,yes,
469,Malawi 🤣🤣🤣🤣,economy,neutral,high,yes,
470,"Kulimbitsa chinyengo, azikagwila akuba osatipa filingstation",economy,negative,high,yes,
471,Mwadukatu mitu kubomakoooo,economy,negative,high,yes,sarcasm
472,Baseless move,economy,negative,high,yes,
473,Vuto loyankhura kwambiri ndizimenezi,economy,negative,high,yes,
474,Mpaka asilikali😂😂,economy,neutral,high,yes,
475,Munkatha mawu tu,economy,neutral,high,yes,
476,Chinyengo chimayenda bwino apolice akakhalapo,economy,negative,high,yes,
477,After praising Israel with the song God bless Israel 😜 😝 😝,economy,neutral,medium,no,irrelevant
478,Nawo a police apezeko kenakake.,economy,positive,medium,yes,
479,Bola MCP inachoka,economy,neutral,,,
480,"Tsopano pa filling station pompo pa kumakhala anyamata ojiya kuti galimoto yomwe iwapatse ndalama ithira changu and also nawo ma fuel attendant akumati galimoto ya madam ithire kaye kenako umumva njinga zanga zithire kaye chipwilikiti pa pump....Police ili pompo,do you see order happening?",economy,negative,high,yes,
481,Chimene akuyankhula sakuchidziwa mpang'ono pomwe. Police amatha kupezeka pa malo omwetsera mafuta koma chisokonezo komanso chinyengo pompo Enanso a police amafika ataledzera ndipo ma citizen samawaopanso,economy,negative,high,yes,
482,Filling station yake ndye siyaku Ndirandetu,economy,negative,high,yes,
483,Police officer ndiye wachinyengoyo,economy,negative,high,yes,
484,Ndipo akumva pain wazigubu,economy,positive,high,yes,
485,Apolisi nde mbavazo,economy,negative,high,yes,
486,Zafika ponunkha ..... Bweretsani mafutawooo,economy,neutral,high,no,
487,Amayambitsa ndi omwewo kuphulira dollar,economy,negative,high,yes,
488,Chabwino,economy,neutral,high,yes,
489,Ngambwingambwi mpaka security,economy,positive,high,yes,
490,Which #police r u talking about....! Pot naoso alimkati mwama Dhimkamu 😂🙌,economy,negative,high,yes,
491,Mesa za police zo zimakaswa ma deal konko 😂😂😂,economy,negative,high,yes,
492,Sitisowa a police koma tikusowa mafuta,economy,negative,high,yes,
493,Hahaha izi si solution nkhani nkuti azipezeka gaso,economy,negative,high,yes,
494,Kukubwelaku muzamva asilikari apangidwa deploy muma Filling station ⛽ 🤣🤣🤣,economy,positive,high,yes,
<<<<<<< HEAD
495,Hahahaha ndamene Ali number one kuyambitsa...ok sorry chabwino,economy,negative,high,yes,
=======
495,Hahahaha ndamene Ali number one kuyambitsa...ok sorry chabwino,economy,negative,high,yes,
>>>>>>> 1ddda33 (Uploaded the rest of the labelled data)
