id,text,topic_label,sentiment_label,confidence,include,notes
189,Mukufa,economy,negative,high,yes,
190,Zalowa chisawawa,economy,negative,high,yes,
191,"Zili bwino abwere basi,tipumeko umoyo wina",economy,neutral,medium,yes,
192,NOCMA or MERA please come in😂😂😂😂😂,economy,negative,medium,yes,
193,"After selling our gold reserves. Why? Odavikhaulitsa vi anthu vaku Central region, kukagula chimanga ku Zambia, using our Forex. Kenakonso kuvimana foteleza  vi anthu vaku Central region, vidapita Kwa amawo kukalima soya.

Pakutha patsiku? Azungu kugula fodya ngati akugula gondolosi wakwa molere. Tonse tikukhaula, mpaka agulitsa ka golide Kathu🤣

Masulani Baraba🤣🤣🤣🤣",economy,negative,high,yes,
194,Awaiting delivery of loading?,economy,neutral,high,yes,
195,Inu pausilu wanu mwanva,economy,negative,high,yes,
196,Mapazi anu inu agalu inu Mxiiiiiii,economy,negative,high,yes,
197,Bola mukukhuta 😅,economy,negative,high,yes,
198,"Is TAM a government spokesentity? You could have just aired your grievances, not commenting on fuel stability.",economy,negative,high,yes,
199,"Limbani mitima a Malawi. Ma truck 100 akunenawo ndi a tsiku limodzi tu basi.

Ndiye kuti uchoka lero mpaka nekesiti wiki tikhala opanda mafuta pheeeee

Komanso onyamula mafuta wakhala liti mneneri wa NOCMA or Government? Wakabaza mpaka umachita masamu a zakudya za mnyumba mwaweni mmalo momakangonyamula zomwe watumidwazo?",economy,negative,high,yes,
201,"LILONGWE - Falls.
___ Samsung 43 inch Normal plasma.

🎲 7 months old 
🎲  550k Fast cash..
0991559620 WhatsApp.",economy,negative,low,no,
202,100 not enough,economy,neutral,high,yes,
203,"These people must be serious
They want to convince  people with the number of trucks as if we don't know that those 100 trucks  will only bring 4 millions litres?
In Malawi we are consuming 1  million litres petrol and 850 000 litres diesel, so these consignment is for how many  days!",economy,negative,high,yes,
204,Team solutions😀,economy,negative,high,yes,
205,Following,economy,neutral,high,yes,
206,KAYA AAA ZOTOPETSA IZI,economy,neutral,high,yes,
208,Good news,economy,positive,high,yes,
209,🤣🤣🤣🤣,economy,negative,medium,yes,
210,Aaaaa  from 300 to 100 zoona azakwana ndani nd ndani?,economy,negative,high,yes,
211,100tankers sanganyamule fuel okwana 3days nkomwe. Apa mavuto sakuonesa kuti achepa,economy,negative,high,yes,
212,Ok,economy,neutral,high,yes,
213,Next week et.. Zikomo boss,economy,positive,high,yes,
214,Boma ilooo alekeni agalu kuuwa ndi kwao,economy,positive,high,yes,
216,Mwayambira muja🤣,economy,negative,high,yes,
217,Banda speaks,economy,neutral,high,yes,
218,Still waiting😂,economy,neutral,high,yes,
219,Mwayamba kutsitsa from 300 to 100 boma lapanikizika ili 🤣,economy,negative,high,yes,
220,100?,economy,neutral,high,yes,
221,Kkkkkkkkkkk,economy,negative,high,yes,
222,Yabalalika dpwipwi 😀😀😀😀,economy,negative,high,yes,
223,"You guys are stupid why did you not continue with what your friends did with G2G . 
You all garbage needs to be thrown out in a waste 😭😞😞 
You are too egoistic for nothing . Matama thooo but full trash 🗑️",economy,negative,high,yes,
224,Ah,economy,neutral,medium,yes,
<<<<<<< HEAD
225,"Frank Banda trying his best to be relevant, what a Gold digger",economy,negative,high,yes,
=======
225,"Frank Banda trying his best to be relevant, what a Gold digger",economy,negative,high,yes,
>>>>>>> a336330 (Uploaded Perpetual dataset)
