,text,topic_label,sentiment_label,confidence,include,notes
832,Hahahaha mudabwa,economy,negative,high,yes,
833,Ndkushota kwama officer eeeee tilemera bas,economy,negative,high,yes,
834,"It starts with so called police soliciting money from jelly can carriers that brings disorder,  bweretsani mafuta apezeke dziko , no need of police officers, simple and straightforward.",economy,neutral,high,yes,
835,osangothana nd vuto la kusowa Kwa mafuta lo bwanji? coz a police analowaso zinyengo too much,economy,negative,high,yes,
836,"A Police azigulitsa nawo mafuta mma filling stations, asilikali azilanda makala mmiseu ndi mmisika, koma Malawi Ada ndi dziko loseketsa",economy,negative,high,yes,
837,A police nawoso adyepo bas,economy,negative,high,yes,
838,police so nde worse bola ma attendant okha okha,economy,negative,high,yes,
839,Anyambite chuma a police tsopano 😋😋,economy,negative,high,yes,
840,Boma lapanikizika ili 🤣,economy,negative,high,yes,
841,Zachibwana,economy,negative,high,yes,
842,Nanga amene amakhala kumudzi kwenikweni koti filing station ili pa boma pokha azpanga bwanj?,economy,positive,high,yes,The person is just being curious on further recommendentations on rural citizens
843,Nde poti apolice amafuna athire Kaye dzimagalimoto phwiiiii,economy,negative,high,yes,
844,"Adziwalipila apolisi iwowo??

Mikwiyo imakhala ndi anthu othila mafuta muwona ngat a police anganukhe kathu ?",economy,negative,medium,yes,
845,Kkkk mafuta kulibe,economy,negative,high,yes,
846,Zimalowa chipwilikiti  mpaka kuphwanyilana galimoto sometimes a police ali pompo,economy,negative,medium,yes,
847,Kodi kuli nkhondo?,economy,negative,medium,yes,
848,,economy,,,no,Blank
849,I was in Blantyre titayandikila zisankho a Shadow ena anazungulila Blantyre yonse ndima Tankala amafuta anthu akusowa mafuta lero zili kuti 😂,economy,negative,high,yes,
850,"Kod ndiye kut pazikhala allowance kwa a police wo or nd normal duty bas?
Pepan ngat ndalankhula udyo!!",economy,positive,medium,yes,No negative word included its just that the person is curious to know 
851,"Who buys fuel without use? Some Pple are doing irrigation, some fishing, some generators, some for different activities, let pple be free buying fuel just make fuel ngambwingambwi, fuel isn't for cars only,what a useless kind of thinking is that? Why fuel is a problem only in our country? In other African countries you won't see fuel shortage for years, why?",economy,positive,high,yes,
852,Kumaliopa mawa,economy,negative,high,yes,
853,If you deploy police officers in all filling stations you will just make all filling stations more prone to corruption.. Police officers are more corruptive than filling station attendants themselves..,economy,negative,high,yes,
854,Ndipo pakakhala police chinyengo nde chimayenda bwino,economy,negative,high,yes,
855,Aaah zaziii,economy,negative,high,yes,
856,"That's not a solution to the fuel scarcity in the country just make fuel available in all filling stations 
That way black market will also stop.",economy,neutral,high,yes,
857,Mbava zokha zokha 😂😂😂,economy,negative,high,yes,
858,Wa police yo simunthu? Mmene akondela mtonyo,economy,negative,high,yes,
860,Okay,economy,neutral,high,yes,
