,text
145,"Oh Great! Let's solve ngongole by taking more ngongole which then leaves us vulnerable to the mzungu.
Mindset yapa mpanje amwene 😭⚠️ Brain ikufunika Format"
146,Amalaw we must take a lesson  to make a decision
147,120M dollars =120M litres
148,The fact that njirayo siyinapezekebe should scare us.
149,"Open tender fuel procurement system works well in stable economies, G2G is the more realistic and strategic option for a forex-constrained economy like ours at this time."
150,🤣 The grass is greener on the other side. Andale ndinu zitsiru kobasi.
151,Had I known came after mistake. Vuto la vote yanga yankwiyo 😔
153,Hopefully a pastor is relaxing plus fasting 😁
154,"Vuto lake leadership ikasintha, basitu zonse amapanga anzanu mmati ndizopoila. You could first analyze all the projects, (the cost-benefit), before abolishing. Some of them were good mxieew"
156,I raise my hand in family meeting to give a pint and they told me it's not time yet to ask for money 😭
157,"The music and the moves haven't changed, only the people performing them."
158,"Each government will have its own problems. Something, something that will make leaders scratch their heads. At least we have been told the truth, ena aja bwezi akutinamizaso pomwepa."
159,True definition of nyekhwelism
160,One thing I'm sure about is that it could have been worse if the previous government was still in power
161,Waiting to see the scrolling guy who always read the comments how r you sir?
162,Great talkers are always little doers
163,USD 120 million= over 120 million litres.. therefore 1litre = less than 1dollar
164,To run Government needs big boys😂
166,"""The more things change the more they remain the same"""
167,One day I was dreaming kut I'm richer and after wake up i was in absolute poverty 🙄🙄🙄
168,The benefit of G to G now comes
169,I have only seen munthalika speaking broken chichewa not even seeing him driving a car........
170,Running government is a serious bizimisi(in Bakili muluzi's words)
171,Different government same strategy...anthu awa🙌🙌🙌
172,It's better to acknowledge the problem and then think of solutions ...it's noted Sir
173,"What goes around comes around, kaya omatero kaya. 🤣🤣🤣🤣"
174,We joke too much in Malawi
176,Return to proven leadership mama yangu game over 🤣🤣🤣🤣
178,That's where G to G comes in
179,The smartness has now gone down....m'mayankhulitsatu!
180,It's giving arsenal
181,"I've finally accepted that we can't be together anymore. We never fully understood each other and that truth hurts more than I expected. Still thank you for showing me what love feels like and what heartbreak feels like too. I hope my distance give you peace and freedom. I really tried with all I had. Our plans didn't work but my feelings were real. I'm learning to live with the silence you left behind one day at a time.🩶😔
#deeppain"
182,Humbled...you have been humbled!!!!!!
183,Nduona ngat 2030 sipatali....😆😅😆😅
184,Yhooo! Another normal Tuesday in Malawi😂
185,G to G was the solution but cadets decided stop it just because it was an MCP initiative.
186,Ndibereke nkakutafune is real. He who laughs last laughs the best! Tiye nazoni
187,Kod post iyi ndi ya last year??? Someone should tell me please 🥺
188,I'm supporting this post with 2 bags of fertilizer
189,UTM can only solve this ..........
190,"The so called ""promised one "" currently 🤣🤣"
191,"too much talkative,nanga lero kkkkkkk"
192,Namalamba di eeh!
193,"Mukabwereka forex mudzabweza m'kwacha? Nanga forex yobwexera ngongole mudzaitenga kuti, sir you are not addressing the issue but you are creating more problems in the future.

Let's tackle ma issues omwe amabweresa forex and focus on those issues, and make sure there is discipline among yourselves within the government."
194,Dr Lazarus Chakwera & 99 others feeling Suprised. How can it be?
195,"That is why I voted for UTM, we changed nothing"
197,Imagine if we're still under Kwantere regime???? Tikanaferatu hoooo!
198,The only truth being said since coming into power kkkk
199,Fuel Fuel eeeeh....! 750 million liters  tagwilirsa  27days.... So 120 million litres it's for how many days.....? Mukamayankhura zanuzo osamaiwara #mawa
200,Managing the economy needs an Economist Cheers to Dr Dalitso Kabambe  🔥
201,I think this is fake news 😂😂😂😂 Namalomba cannot say that
202,Stay away from people who think arsenal can win the league.
203,Allow those that can work from home to do so. There will be reduced demand for fuel.
204,"If we import 120m liters of petrol and sell it here we'll generate USD457,247,287.26442 if we convert it. I hope it can be used to pay for the back. Koma vuto nkuti dollar yo tiipeza bwanji"
205,Namalomba said that???? 🤔🤔🤔
206,This will be the🤣last time for DPP 😔😔😔
207,Someone out there is also thinking wat am thinking🤗🤗🤗🤗
208,Inuyotu mukhawule kaye 🤣🤣🤣
209,"Mbuziii.
Now 1 litre 20pin"
210,Tidakupatsani DK inu mudasankha mbamu
211,Me and Chakwera smiling right now 👍
212,"We don't have a president but we have Mr  delegation he can even delegating himself,"
213,Namalamba=Namalomba
214,14 pin black market per litre........
215,"When you're single you admire those in marriage, but once you get married, you think being single is a right choice kkk"
216,Pakara pakara government
217,What if 8 is 0 but is just wearing a belt🤔
218,Ever heard of Angola en price of its fuel
