id,text,topic_label,sentiment_label,confidence,include,notes
85,Republic of dowa 💥,Economy,Negative,High,Yes,
86,Under the dynamic of professor peter mnthalika 🔥🔥🔥,Politics,Neutral,High,Yes,
87,Andale are waiting for this to stop him....,Politics,Negative,Medium,Yes,
88,A Malawian dangote,Economy,Positive,High,Yes,
89,"We do call this "" Japan in Malawi 🇲🇼""😁🙌",Economy,Positive,High,Yes,
90,Waiting for IPO ya nzeru za bambo .. awa nde ma stock ... Osati amavendor tikugulawa ...producers not consumer.,Economy,Positive,High,Yes,
91,Dowa siku Malawi 🙌,Politics,Neutral,High,Yes,
92,Politicians and 99 others feeling uncomfortable with a bombastic side eye.,Politics,Negative,Medium,Yes,
93,Real meaning of Pangolin,Economy,Positive,High,Yes,
94,Dollo kwambir ma small holder famers apindule,Economy,Positive,High,Yes,
95,This is what we call idea 👌,Economy,Positive,High,Yes,
96,Dowa have full wise people 💥💪🔥,Politics,Neutral,High,Yes,
97,"That's the kind of well to do citizens we want within ourselves,, uyuyu ndi real Gøàt",Economy,Positive,High,Yes,
98,Mbambande 🔥,Economy,Positive,High,Yes,
99,Pano Dowa ndidziko palokho 🌹♥️,Politics,Neutral,Medium,Yes,
100,"He only had a dream and now,implementation time!!",Economy,Positive,High,Yes,
101,Goat,Economy,Positive,High,Yes,
102,Ma set a clean,Economy,Positive,High,Yes,
103,"Things gvt can't do, a person does🙌 
 Fert uyu akufunika tax free 😅",Economy,Positive,High,Yes,
105,Ur the 2ru Son of the soil...... Keep it up Mr zombe,Economy,Positive,High,Yes,
106,Mphatso Kaonga Remember what I told ya 'bout Napoleon? He's a real business man.,Economy,Positive,High,Yes,
107,The Aristotle,Economy,Positive,High,Yes,
108,Dolo kahandede 🤝💯,Economy,Positive,High,Yes,
109,Man of Calibre🔥,Economy,Positive,High,Yes,
110,Our own Traore,Politics,Positive,High,Yes,
111,Dowa Getto tikungowonera ku ma comment ku,Politics,Negative,Medium,Yes,
112,Company iyi yadza🔥🔥,Economy,Positive,Medium,Yes,
113,Kulima kwamphweka🤩,Economy,Positive,High,Yes,
114,Degree is just a paper 😎,Education,Negative,High,Yes,
115,Napoleon doro ka 100 🔥🔥🔥🔥,Economy,Positive,High,Yes,
116,"The brilliant guy,,the way I 💕",Economy,Positive,High,Yes,
