id,text,topic-label,sentiment-label,confidence,include,notes
330,Ndekuti zikwane yogulira 1 litre yamafuta eeee,Economy,Negative,High,Yes,
331,"Chinafuta ndi chani kuwafunsa A Malawi eni ake zandalama ya coin because no one is happy for whay u did apapa ndipamene mwawonjezela kuwonga chuma cha Malawi mukanangosiya or kuchoselatu 20 ndi 50 vuto panalibe aliyense akudziwa kuti ndalama yanthu inatha so please zomwe mwapanga kalezo zikhale zomwezo musapitili kuwononga chuma chathu please please ndalama za coins zimagwilizana ndi economy ya dziko our economy is very very poor
Alipo a kugwilizana ndi mfundo yangayi muno? I'm say musapitilize ndi ma coins chonde",Economy,Negative,High,Yes,
332,Ine ndiye ndilibe nadzo ntchito bola ndikukhuta iya,Economy,Neutral,High,Yes,
333,Nsing'anga weni weni sangakulamuleni ndalama usanathandidzidwe apezeni Bambo Angale pa nambala yake  imeneyi (0988679265:) pamasautso omwe mulinawo   kunfotokoza chilichonse  momasuka ndithu  muliolandilidwa posalamulidwa  ndalama iliyonse pa chiyambi pake yankhulana naoni kudzera pa  Whatsapp kapena Call   ngakhale mulikutali Bambo Amiki  adzakuthandizani mosavuta ndithu zikomo kwambiri. 📞 0988679265,Economy,Positive,High,Yes,offtopic
334,Zizogwira ntchito tu komà zimenezi,Economy,Negative,Medium,Yes,
335,Tidziyenda ndma kg thumba tsopano 🤣,Economy,Negative,High,Yes,
336,"Ngat imatibhowa 20  kwacha yapepala  ndy yachitsulo, izikatilemera mmatumbamu ngat uli mkathu",Economy,Negative,High,Yes,
337,Phinduu lake ndi chan,Economy,Neutral,High,Yes,
338,Pano aliyense azikhwefula basi tisanduka ma Yooo Ndi abusa omwe 🤣🤣,Economy,Neutral,Medium,Yes,
339,Chabwino,Economy,Positive,Medium,Yes,
340,Aa koma idzi ndye bora kwacha ingonthapo iya zachisulo zachani malo moibwelasa  kt ndarama yayikulu ikhale k 500 bwanj zikumandinyasa zimenedzo bwanjiso.,Economy,Negative,Medium,Yes,
341,Kmatu izizi tidana ndi gulu Maka ma customer 😂😂😂 ena azikana,Economy,Negative,High,Yes,
342,Apa nde tamenyaso duzu ndi pota ija basi 😂🤣,Economy,Neutral,Medium,Yes,
343,My Malawi 🇲🇼,Economy,Neutral,High,Yes,
344,Koma olo kukambilanako tizikambilana za k20 ndi k50??,Economy,Neutral,High,Yes,
345,Anzawo tizikafupa bwanj ma 50 kwacha a ma coins ku ukwati apa simunatiganizire😂😂😂😂,Economy,Negative,High,Yes,
346,Bonya mpaka pa ndarama pomwe,Economy,Neutral,Medium,Yes,
347,Zizude,Economy,Neutral,Low,Yes,
348,Ndalama kkk 😂,Economy,Neutral,Medium,Yes,
349,𝑰𝒇𝒆 𝒅𝒛𝒊𝒌𝒐 𝒍𝒂𝒕𝒉𝒖 𝒑𝒂𝒍𝒐𝒌𝒉𝒂 𝒏𝒅𝒊 𝒏𝒌𝒉𝒂𝒏𝒊 𝒌𝒂𝒍𝒆 🤣🤣,Economy,Neutral,Medium,Yes,
350,Cholinga ana azimeza eti,Economy,Neutral,High,Yes,
351,Ndikatunduwanji PANO amene akugulitsidwa pamtengo wa k20? Tamakhalani srs abank,Economy,Negative,High,Yes,
352,Zinthu zitchipa,Economy,Neutral,Medium,Yes,
353,Proven leadership my foot,Economy,Neutral,Medium,Yes,
354,Ndalama kukonza ndalama zizake😋,Economy,Negative,High,Yes,
355,Ndiye mzachan zimenez,Economy,Neutral,Medium,Yes,
356,Imagine kumayenda ndimacoin muthumbA😂😂😂😂,Economy,Negative,High,Yes,
357,5 pin pabwere khope ya chirebwe kamudzi unja ndalama yake sikumachedwa kuntha,Economy,Negative,Medium,Yes,
358,Koma nde azimayi amene timakonda kufupa ma 20kwacha nde tadukatu😆,Economy,Neutral,High,Yes,
359,K20 inatha ntchito,Economy,Negative,High,Yes,
360,5 and 10 kwacha tizakuiwalan ngat matambala 😄😂🤤,Economy,Neutral,High,Yes,
362,"dzima coin dzanudzi anthu akukana kuno,",Economy,Neutral,Medium,Yes,
363,Za pepala zikanachoka nafeso tikhale ndi mbili kwa ana athu,Economy,Neutral,High,Yes,
364,20kwacha myantchito yanji? 🚮,Economy,Negative,High,Yes,
365,Tigula chani sopano,Economy,Neutral,High,Yes,
366,Kamabatile government zagogo petulo muthalika 😩😩😩😩😩😩😩😩,Economy,Negative,High,Yes,
367,Zabwera ngati forex???  Asking for my late grandmother,Economy,Neutral,High,Yes,
368,Koma malawi ikutukuka mbambande,Economy,Neutral,Medium,Yes,
369,Tizigenderana zomwezo maukwatimu,Economy,Neutral,High,Yes,
370,Kwa amene mumafuna attention Inu muxingoyika ma coin nthumba bac kut anthu azikucheukilan,Economy,Negative,Medium,Yes,
372,Chitukuko choyamba ndichimenechi zoona chitengeleni Boma 😂😂😂ayi zikomo,Economy,Negative,High,Yes,
373,K5000 ndi K2000  ndi zimene zinayenera kupangidwa Mma  coin chifukwa chakuti K20 ife amakamtini sitigwiritsa ntchito,Economy,Negative,High,Yes,
375,😂 ukamayenda zili ngwenje ngwenje ngwenje,Economy,Negative,Medium,Yes,
376,Zativuta okonda kupita NDI ma k50 Ku ukwati kuti tikasupe nthawi yaitali kwinako tikuzepula,Economy,Negative,High,Yes,
378,Tapanganiso 5 pin ya chitsulo,Economy,Neutral,Medium,Yes,
379,What about 10 pin,Economy,Neutral,Medium,Yes,
380,Koma awa angotaya Nthawi yao nanga paka zachitsulo😁,Economy,Negative,High,Yes,
381,Kuduka kwamalawi kunali komweko,Economy,Negative,Medium,Yes,
382,Koma nzachani?,Economy,Neutral,High,Yes,
383,Ndy pot ndlama yapepara ya k20 sikupezeka pansika,Economy,Neutral,High,Yes,
384,Za ntchito yanji zimenezo?,Economy,Neutral,Medium,Yes,
385,Akanango chotsa 5pin,Economy,Negative,High,Yes,
386,RBM bank yathu yathu yachimalawi,Economy,Positive,High,Yes,
387,olo girlfriend sangalandile zitsulo zimenezi😞 pamsana panu☹️☹️,Economy,Negative,High,Yes,
389,Ofupa ma 50 ku ukwatife mwatiganizila bwanj,Economy,Neutral,Medium,Yes,
390,Povota mumafuna ife amphawi kma mukamapanga ziganizo mumapanga nokha ife osatifusa kuthanthawuza kt ife mumatifuna nthawi yo vota basi chikondi Cha nkhwanga,Economy,Negative,Medium,Yes,
391,Mcp inaononga dziko lathuli,Economy,Neutral,Medium,Yes,
392,",kuphuphatu uku",Economy,Neutral,Medium,Yes,
393,Koma yachidzulo guys 🤣🤣,Economy,Negative,Medium,Yes,
