id,text,topic_label,sentiment_label,confidence,include,notes
0,Deployment of police officers is useless just ensure the availability of fuel. ..🙄,economy,negative,high,yes,
1,But do you think a Police Officer can manage to stop selling fuel in Jerricans?,economy,neutral,medium,yes,
2,Check the list of corrupt offices in Malawi 🤣🤣,economy,negative,high,yes,
3,"Police and fuel attendant, good connection,  
Tikuthila malire 100 pin, mmm ikani full tank 10pin yo yanu,  poweluka ma share",economy,negative,high,yes,
4,Who will pay them? Normal duty or MERA? 😂,economy,neutral,high,yes,
5,"My football people, it's time for policemen to make easy Kesh!!",economy,negative,high,yes,
6,"Hahahahahah! Deployment of police officers is not necessary it's like asking Donald Trump to come to Malawi, just ensure the availability of fuel in all fuel stationz otherwise Mkulukuta moyo under fire 🌍",economy,negative,high,yes,
7,"But they said if fuel price is raised, there will be availability",economy,negative,high,yes,
8,We raised ma price a fuel to stabilize the situation,economy,neutral,medium,yes,
9,So police to stop corruption or to add fire 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,economy,neutral,medium,yes,
10,Just bring fuel ⛽️ basitu ngambwingambwi will solve all the problems with no extra cost.,economy,neutral,high,yes,
11,A police ndie amapanga  facilitates zopoila  muma filling stations'mu,economy,negative,high,yes,
12,And who will be paying those officers?,economy,neutral,high,yes,
13,"We don't need Police,  we need fuel",economy,negative,high,yes,
14,"1 Police officer against 5,000 people?",economy,neutral,high,yes,
15,"Check Records of most corrupt Offices in Malawi  
You will realize that English word of Nsima is stiff porridge",economy,neutral,high,yes,
16,Who will be paying that officer?the gvt or eni fueling station?,economy,neutral,high,yes,
17,Mesa u said Monday everything shall be oky?,economy,neutral,high,yes,
18,The solution is making  the commodity  available,economy,positive,medium,yes,
19,Mmmmmm kuononga misonkho uku are you still believing in police officers?,economy,negative,high,yes,
20,Mmmmmm kuononga misonkho uku are you still believing in police officers?,economy,negative,medium,yes,
21,"I have never heard of such in my life?
Is it out of pressure or what?",economy,negative,high,yes,
22,Time for a lucky Police man to pocket his bag 💰 one way or another tha police man will make tha smuggle go smooth,economy,neutral,medium,yes,
23,"Ingobwelesani fuel wokwanila, otherwise deploying Police officers in filling stations will make the current situation even worse 😂😂😂",economy,negative,high,yes,
24,Ma officer ake oshotawo ? With just 5 pin we will get through,economy,negative,high,yes,
25,MERA better call back those guys we used to see in stations last time not police,economy,negative,high,yes,
26,"The true meaning of a Chichewa saying which goes ""ntchembere yazingwa"".",economy,negative,high,yes,
27,The works of a bad carpenter who blames his own tools 🔧 🙄,economy,negative,high,yes,
28,At whose cost? Just make fuel available basi,economy,negative,medium,yes,
29,Which police officers...? From which country?,economy,neutral,high,yes,
30,Kkkkkkkkk  koma  solution  yake . ...with  only  5 pin people  will  going  to  access  it,economy,negative,medium,yes,
31,So they think Police won’t take bribes,economy,neutral,high,yes,
32,Koma under whose expense??,economy,neutral,high,yes,
33,So you believe Officers can prevent illegal fuel purchase hahahah apeza mgodi bac.,economy,negative,high,yes,
34,One who has issued the direct doest know zomwe zumachitika ku fuelling stations,economy,neutral,medium,yes,
35,return to proven leadership DPP woyee!!!! 😄😄😄😄,economy,neutral,low,no,
36,"WE DON'T NEED POLICE OFFICERS, WE NEED FUEL. Palibe galimoto imene inayendera wa police mu tank",economy,negative,high,yes,
37,"Anthu athirabe then they’ll empty the fuel and come back to buy wina😀😀😄
Let Mera work hand in hand with MPS to deal with black market sellers basi",economy,neutral,medium,yes,
38,Let them.borrow a leaf from Chitawira Puma so.smart no madando olo.line italike pamakhala order all the time,economy,negative,high,yes,
39,"Who will be paying allowances for these police officers, a MERA?or mwini filling station?",economy,neutral,low,no,
40,Mmmm the police offices r the ones who smuggling the fuel it's Betta to leave the situation  lik old system without offices,economy,negative,medium,yes,
41,My people tobacco,economy,neutral,medium,yes,
42,Adding petrol to alredy burned bush,economy,neutral,medium,no,
43,At whose cost?,economy,negative,medium,yes,
44,All de scalems police man now there in Galage 💔💔😭😭🤧🤧🤧🤧,economy,neutral,medium,yes,
45,Give us fuel,economy,neutral,medium,yes,
46,Apolice ake ati?,economy,negative,medium,yes,
47,My people fuel,economy,negative,medium,yes,
48,"So someone is a fisherman and employing alot of people on daily basis how is he/she going to purchase fuel, zaziii kodi mafuta mukuona ngati akuwafuna ndi a magudumu okha?",economy,negative,medium,yes,
49,Lelotu Monday yakwana,economy,neutral,medium,yes,
50,Whenever the gas ⛽️ is available people do not buy in jerricans or do the black market. Make the gas ⛽️ available at all times. Our men in uniform will definitely join the forces of black market. Taonapo nthawi ya sugar iwo amagula bail yonse ife kutigulisa muwiri komanso kutikakamiza kuti tigule kaye soya pieces,economy,neutral,medium,yes,
59,The whole police officer at each and every filling station? 🤣🤣🤣,economy,neutral,medium,yes,
60,"So the while police service kumakalondera pa filling station??????🤔🤔🤔🤔🤔🤔🤔
We joke too much",economy,neutral,high,yes,
61,Aaaaah zokanika ma deal akupangidwa a police Ali pompo and not just one police officer but many. Ndalama nkumagawana,economy,neutral,medium,yes,
62,Kkkkkk my people football 🤣🤣,economy,neutral,medium,yes,
63,My people fuel 🤣🤣🤣,economy,neutral,medium,yes,
64,Where is your sleeping prince AKA Mkulukuta,economy,neutral,low,no,
65,The real use of police has been unveiled,economy,positive,medium,yes,
51,"Imagine being on duty as an officer and someone bribes you with cash, double your salary.",economy,neutral,medium,yes,
52,This another way of saying mabvuto a fuel alipobe?,economy,negative,high,yes,
53,If you are to the other side of the river seeing someone trying to swim you can think he doesn't know how to swim but when your turn comes it's when pple will know that you are worse,economy,neutral,medium,yes,
54,"Everyone is busy seeking for a good life to live,a policeman is one of them, the rest is for you to decide.",economy,neutral,medium,yes,
55,What money can't do more money can,economy,negative,medium,yes,
56,What will happen with those who have generators at home or factories? Should they bring their Gen sets in pump stations or what🤷.,economy,neutral,medium,yes,
57,😂😂 a police adye naonso tigula 20pin black market,economy,negative,medium,yes,
58,Who will pay them ( Police),economy,negative,high,yes,
66,Who'll pay the officers?,economy,neutral,medium,yes,
67,"Even chakwera resigme we didn't reach this point, apa zativuta basi",economy,negative,medium,yes,
68,Too late for that anthu aphwanyana kale sagwada ukoo...where were you nanu a MERA all this time ?,economy,negative,medium,yes,
69,A police naw fuel alibetu 😂😂😂😂,economy,neutral,medium,yes,
70,Mpakana police eish,economy,negative,medium,yes,
71,"Malawi Energy Regulatory Authority pamenepo mwangowafukulira m'godi a police, they will not bring any change, ganyu ameneyu azichita kulimbirana",economy,negative,medium,yes,
72,Even HSAs must be there too 🤔🤔😩😩😔,economy,neutral,low,no,
73,Which police are you talking? They are also involved in smuggling fuel,economy,negative,medium,yes,
74,"🤣🤣🤣🤣🤣🤣😂😂😂😂
Akuluakulu desperation isafike apapa 😂😂😂
Kondwani Kachamba Ngwira  where are you bro???
Arthur Peter Mutharika  where are you haha 😂",economy,neutral,medium,yes,
75,My people fuel pumping 🙄 wayi noti liyining'i wifi pawa,economy,neutral,low,no,
77,Who's going to pay the police officers government or filling owners,economy,neutral,medium,yes,
78,"Who is the most corrupt officer in Malawi apart from MRA and ESCOM

Answer: Police officer🤣🤣🤣",economy,neutral,medium,yes,
79,"When fuel was not scarce everything was going on well without police, ensure constant availability",economy,negative,high,yes,
80,Who will be responsible to pay the Police Officers?,economy,neutral,medium,yes,
81,"Thus the way to make also officers to benefit,",economy,negative,high,yes,
82,Pakalapakala government 🤣,economy,neutral,low,yes,
83,"But do they know that some areas have no filling station, they solely depend on black market?",economy,negative,high,yes,
84,So do you think we can come with boats to fill fuel?,economy,negative,medium,yes,
85,"Police will be part of the syndicate, they won't go there to provide solution.",economy,negative,high,yes,
86,"MERA should ensure that all filling stations have fuel available at all times and work closely with the police to maintain order, enforce proper measures, and prevent any illegal dealings at the stations. Fuel azipezeka kaye",economy,positive,medium,yes,
87,Wa police? 🤣🤣🤣,economy,neutral,low,no,
88,The only solution to the problem is to make the product available nation wide,economy,negative,medium,yes,
89,Pepani ndithu police can also be bribed,economy,negative,high,yes,
