id,text,sentiment_label,include,notes,Unnamed: 0
10030,Why was G-G a problem?,,,[AL entropy: 1.5827],32
10027,"Someone who's keeping interview made by Namalomba when he was in opposition about forex can you play it here
Kumaliwopa mawa Namalomba 🛌🛌",,,[AL entropy: 1.5826],28
10065,The more things change the more they remain the same,,,[AL entropy: 1.5794],68
10051,"God will take a way for you guys,naira ipezeka osadandaula",,,[AL entropy: 1.5779],54
10060,Koma Malawi aaaaa we are not serious,,,[AL entropy: 1.5778],63
10031,You can fake everything else but u can't fake the taste 😌,,,[AL entropy: 1.5761],33
10021,I thought you were saying it will be dealt once for all,,,[AL entropy: 1.5758],22
10033,"Bring back state owned public transportation, big buses like Stagecoach. Ma double decker",,,[AL entropy: 1.5747],35
10014,"True illustration of famous quote of ""kumaliopa mawa""",,,[AL entropy: 1.5717],15
10020,"Kuyendesa dziko simasewera , it is simple when u are out of it",,,[AL entropy: 1.5710],21
